Freq (kHz),Reff (mOhm),Leff (nH)
10,0.0026034100000000004,0.030524804000423893
110,0.0027606862904173113,0.030054483846151447
210,0.002900343183146356,0.029966030043658415
310,0.0030533746831769514,0.02991238347697655
410,0.0032139297878434666,0.02987042814343124
510,0.0033755248703432337,0.029834823710958094
610,0.0035357798951078066,0.029804174527802447
710,0.003693037717149833,0.029777713226183007
810,0.0038456411914819565,0.02975467243831845
910,0.0039919331731168226,0.029734284796427483
