"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='10.9mm' Width='1.2mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='10.9mm' Width='1.2mm'"
0.01,0.149748571483437,7.58682312397194
0.02,0.211776460737873,6.888764114565
0.03,0.259372134170172,6.57951249516728
0.04,0.299497142966873,6.39516185534499
0.05,0.334847985370451,6.26935482783944
0.06,0.366807589845111,6.17648793817594
0.07,0.396197479332352,6.10431183352222
0.08,0.423552921475746,6.04613235064152
0.09,0.44924571445031,5.99794143246934
0.1,0.473546562244199,5.95717334837142
0.11,0.496659824502273,5.92209936948795
0.12,0.518744268340344,5.89150654094266
0.13,0.539926152911015,5.86451532625941
0.14,0.560307848649846,5.84047032790239
0.15,0.579973723473701,5.81887181974638
0.16,0.598994285933746,5.79933122103152
0.17,0.617429177511565,5.78154120795409
0.18,0.635329382213619,5.76525509600036
0.19,0.652738890035876,5.75027227565239
0.2,0.669695970740901,5.73642770727874
0.21,0.686234164034354,5.72358420254948
0.22,0.702383059696956,5.71162665896704
0.23,0.718168919691313,5.70045768908256
0.24,0.733615179690223,5.68999426244699
0.25,0.748742857417183,5.68016509416882
0.26,0.763570888126687,5.67090859151201
0.27,0.778116402510516,5.66217122286779
0.28,0.792394958664704,5.65390621012013
0.29,0.806420737071268,5.64607247125839
0.3,0.82020670555653,5.63863375853951
0.31,0.833764759690182,5.63155795084875
0.32,0.847105842951491,5.62481646867978
0.33,0.860240050116179,5.61838378738959
0.34,0.873176716641721,5.61223702979534
0.35,0.885924496301207,5.60635562326814
0.36,0.898491428900619,5.60072100959369
0.37,0.910884999585132,5.59531639826462
0.38,0.923112190977097,5.59012655572434
0.39,0.935179529177081,5.58513762453056
0.4,0.947093124488398,5.58033696754473
0.41,0.958858707586538,5.57571303315488
0.42,0.970481661741146,5.57125523825647
0.43,0.981967051604679,5.56695386629074
0.44,0.993319649004547,5.562799978103
0.45,1.00454395611135,5.55878533375851
0.46,1.01564422630229,5.55490232375881
0.47,1.02662448299391,5.55114390835132
0.48,1.03748853668069,5.54750356383035
0.49,1.04824000038406,5.54397523489717
0.5,1.05888230368936,5.54055329228743
0.51,1.06941870552549,5.53723249499121
0.52,1.07985230582203,5.53400795648873
0.53,1.0901860561622,5.53087511450686
0.54,1.10042276953533,5.52782970387067
0.55,1.1105651292802,5.52486773208247
0.56,1.12061569729969,5.52198545731021
0.57,1.13057692161825,5.51917936850956
0.58,1.1404511433451,5.51644616743903
0.59,1.1502406030994,5.51378275235918
0.6,1.1599474469474,5.51118620323221
0.61,1.16957373189599,5.50865376826178
0.62,1.1791214309826,5.5061828516317
0.63,1.18859243799706,5.50377100231944
0.64,1.19798857186749,5.50141590387478
0.65,1.20731158073898,5.49911536506681
0.66,1.21656314577081,5.49686731131327
0.67,1.22574488467589,5.49466977681621
0.68,1.23485835502313,5.49252089733607
0.69,1.24390505732221,5.49041890354389
0.7,1.25288643790772,5.48836211489777
0.71,1.26180389163864,5.48634893399534
0.72,1.27065876442724,5.4843778413592
0.73,1.27945235561043,5.48244739061663
0.74,1.28818592017551,5.48055620403874
0.75,1.29686067085086,5.47870296840789
0.76,1.30547778007175,5.47688643118522
0.77,1.31403838183,5.47510539695274
0.78,1.32254357341591,5.47335872410722
0.79,1.33099441706007,5.47164532178491
0.8,1.3393919414818,5.46996414699839
0.81,1.34773714335093,5.46831420196847
0.82,1.35603098866842,5.46669453163556
0.83,1.36427441407159,5.46510422133647
0.84,1.37246832806871,5.46354239463376
0.85,1.38061361220765,5.46200821128605
0.86,1.38871112218286,5.46050086534838
0.87,1.39676168888458,5.45901958339317
0.88,1.40476611939391,5.45756362284254
0.89,1.41272519792717,5.45613227040409
0.9,1.4206396867326,5.4547248406025
0.91,1.42851032694238,5.45334067440013
0.92,1.43633783938263,5.4519791379003
0.93,1.44412292534385,5.45063962112751
0.94,1.45186626731425,5.44932153687915
0.95,1.45956852967798,5.44802431964396
0.96,1.46723035938045,5.44674742458252
0.97,1.47485238656247,5.44549032656577
0.98,1.48243522516511,5.44425251926761
0.99,1.48997947350682,5.44303351430801
1,1.49748571483437,5.44183284044343
