"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='40mm' Width='1.2mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='40mm' Width='1.2mm'"
0.01,0.595649510767051,33.5892169767632
0.02,0.842375616547662,30.8125727435609
0.03,1.03169521615208,29.5824736917075
0.04,1.1912990215341,28.849188777321
0.05,1.33191279683962,28.3487706855662
0.06,1.45903736691771,27.9793773962243
0.07,1.57594047404691,27.6922850987809
0.08,1.68475123309532,27.4608666607198
0.09,1.78694853230115,27.2691793775069
0.1,1.88360914118887,27.1070176346116
0.11,1.97554593377307,26.9675051293794
0.12,2.06339043230415,26.8458171347931
0.13,2.14764485327564,26.7384551502225
0.14,2.22871639188982,26.6428122244444
0.15,2.30694063537738,26.5569006148112
0.16,2.3825980430682,26.4791746775999
0.17,2.45592584874003,26.4084119819619
0.18,2.52712684964299,26.3436312997728
0.19,2.59637602320302,26.2840346737631
0.2,2.66382559367924,26.2289656317225
0.21,2.72960897075342,26.1778784845615
0.22,2.79384385263289,26.1303153932125
0.23,2.85663470058242,26.0858889831201
0.24,2.91807473383542,26.0442689870515
0.25,2.97824755383525,26.0051718576556
0.26,3.03722847866319,25.96835259972
0.27,3.09508564845623,25.9335982824883
0.28,3.15188094809381,25.9007228383298
0.29,3.20767078276961,25.8695628568071
0.3,3.2625067341403,25.8399741565755
0.31,3.31643611878592,25.8118289706312
0.32,3.36950246619065,25.7850136192993
0.33,3.42174592998105,25.7594265741244
0.34,3.47320364347081,25.7349768373586
0.35,3.52391002846213,25.7115825779954
0.36,3.5738970646023,25.6891699776928
0.37,3.62319452528428,25.667672249453
0.38,3.67183018503403,25.6470287993055
0.39,3.71983000248722,25.6271845070002
0.4,3.76721828237774,25.6080891062452
0.41,3.81401781940752,25.5896966486087
0.42,3.86025002641476,25.5719650380562
0.43,3.9059350488855,25.5548556253811
0.44,3.95109186754613,25.5383328536291
0.45,3.99573839051885,25.5223639471079
0.46,4.03989153630927,25.506918637789
0.47,4.08356730871676,25.4919689239016
0.48,4.12678086460831,25.4774888563359
0.49,4.16954657536936,25.4634543491479
0.5,4.21187808273831,25.4498430110152
0.51,4.25378834963946,25.4366339949607
0.52,4.29528970655128,25.4238078640506
0.53,4.33639389388031,25.4113464710949
0.54,4.37711210075313,25.3992328506606
0.55,4.41745500058987,25.3874511219331
0.56,4.45743278377964,25.3759864011616
0.57,4.49705518774125,25.3648247225911
0.58,4.5363315246207,25.3539529669252
0.59,4.57527070684835,25.3433587964863
0.6,4.61388127075477,25.3330305963449
0.61,4.65217139842231,25.3229574207798
0.62,4.69014893793104,25.313128944506
0.63,4.72782142214072,25.3035354181794
0.64,4.76519608613641,25.2941676277393
0.65,4.80227988345189,25.2850168572051
0.66,4.83907950117414,25.2760748545856
0.67,4.87560137402155,25.2673338005969
0.68,4.91185169748007,25.2587862799203
0.69,4.94783644007306,25.2504252547596
0.7,4.9835613548337,25.2422440404838
0.71,5.01903199004239,25.2342362831627
0.72,5.05425369928597,25.2263959388257
0.73,5.08923165089024,25.2187172542882
0.74,5.12397083677298,25.2111947494073
0.75,5.15847608076038,25.2038232006445
0.76,5.19275204640603,25.1965976258209
0.77,5.22680324434841,25.1895132699655
0.78,5.26063403923977,25.182565592164
0.79,5.29424865627646,25.1757502533269
0.8,5.32765118735847,25.1690631048006
0.81,5.36084559690346,25.1625001777548
0.82,5.39383572733877,25.1560576732832
0.83,5.42662530429301,25.1497319531628
0.84,5.45921794150685,25.1435195312201
0.85,5.49161714548158,25.1374170652571
0.86,5.52382631988229,25.1314213494954
0.87,5.55584876971119,25.1255293075001
0.88,5.58768770526578,25.1197379855456
0.89,5.6193462458951,25.1140445463946
0.9,5.65082742356661,25.1084462634563
0.91,5.68213418625515,25.1029405153006
0.92,5.71326940116484,25.0975247804994
0.93,5.74423585779375,25.0921966327751
0.94,5.77503627085065,25.0869537364328
0.95,5.80567328303252,25.0817938420589
0.96,5.83614946767084,25.0767147824651
0.97,5.8664673312541,25.0717144688645
0.98,5.89662931583363,25.0667908872619
0.99,5.9266378013192,25.0619420950456
1,5.95649510767051,25.0571662177672
