"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm] - Length='1.2mm' Width='10mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [pH] - Length='1.2mm' Width='10mm'"
0.01,1.82930805085261,101.177846610025
0.02,2.58703225527406,92.6504533051773
0.03,3.16845448677152,88.872677854638
0.04,3.65861610170523,86.6206756734749
0.05,4.09045715349409,85.083834246609
0.06,4.48087130695417,83.9493850345985
0.07,4.83989417388431,83.0676916200017
0.08,5.17406451054812,82.3569790210512
0.09,5.48792415255784,81.7682853612917
0.1,5.78477998277738,81.2702680265059
0.11,6.0671284306545,80.8418091015801
0.12,6.33690897354304,80.4680912957816
0.13,6.59566397596819,80.1383703119136
0.14,6.84464398115772,79.8446399033927
0.15,7.08487961603532,79.5807954842788
0.16,7.31723220341046,79.3420902052001
0.17,7.54243031545809,79.1247698406389
0.18,7.76109676582217,78.9258209263426
0.19,7.97376893027191,78.7427928439008
0.2,8.18091430698817,78.5736694917671
0.21,8.38294261242423,78.4167749960824
0.22,8.58021531129098,78.2707032804922
0.23,8.77305321612871,78.1342646732519
0.24,8.96174261390833,78.0064448857619
0.25,9.14654025426307,77.8863731115451
0.26,9.32767744766986,77.7732969421693
0.27,9.50536346031456,77.6665624428295
0.28,9.67978834776863,77.5655981784635
0.29,9.85112533685931,77.4699022968527
0.3,10.0195328407778,77.3790320005298
0.31,10.1851561741752,77.292594902354
0.32,10.3481290210962,77.2102418789882
0.33,10.5085746979392,77.1316611248872
0.34,10.6666072453748,77.0565731755171
0.35,10.8223323767105,76.9847267184593
0.36,10.9758483051157,76.9158950491085
0.37,11.1272464680992,76.8498730569247
0.38,11.2766121644197,76.7864746508663
0.39,11.4240251160287,76.7255305503148
0.4,11.5695599655548,76.6668863817156
0.41,11.7132867181454,76.6104010321581
0.42,11.8552711350857,76.5559452198861
0.43,11.9955750854767,76.5034002487476
0.44,12.134256861309,76.4526569192527
0.45,12.2713714604823,76.4036145734865
0.46,12.4069708416701,76.3561802548574
0.47,12.5411041543784,76.3102679667117
0.48,12.6738179470861,76.2657980163534
0.49,12.8051563559683,76.2226964330823
0.5,12.9351612763703,76.1808944505756
0.51,13.0638725189212,76.1403280453736
0.52,13.1913279519364,76.1009375244194
0.53,13.3175636315526,76.0626671556091
0.54,13.4426139208625,76.0254648361497
0.55,13.5665115991651,75.9892817942355
0.56,13.6892879623154,75.954072320159
0.57,13.8109729150451,75.9197935234826
0.58,13.9315950560237,75.8864051133404
0.59,14.0511817563484,75.8538691993074
0.6,14.1697592320706,75.822150110602
0.61,14.2873526113051,75.7912142316565
0.62,14.4039859964067,75.7610298523358
0.63,14.5196825216529,75.7315670312841
0.64,14.6344644068209,75.7027974710627
0.65,14.7483530070114,75.6746944038946
0.66,14.8613688590364,75.6472324869671
0.67,14.973531724655,75.6203877063613
0.68,15.0848606309162,75.5941372887821
0.69,15.1953739078405,75.568459620349
0.7,15.3050892236535,75.5433341717923
0.71,15.4140236177614,75.5187414294632
0.72,15.5221935316444,75.4946628316339
0.73,15.6296148378242,75.4710807096131
0.74,15.7363028670539,75.4479782332534
0.75,15.8422724338576,75.4253393604678
0.76,15.9475378605438,75.403148790413
0.77,16.0521129998014,75.3813919200266
0.78,16.1560112559786,75.3600548036397
0.79,16.2592456051387,75.33912411541
0.8,16.3618286139764,75.3185871143462
0.81,16.4637724576735,75.2984316117141
0.82,16.5650889367659,75.2786459406364
0.83,16.6657894930867,75.2592189277129
0.84,16.7658852248485,75.2401398665038
0.85,16.8653869009195,75.2213984927354
0.86,16.964304974346,75.2029849610945
0.87,17.0626495951694,75.1848898234955
0.88,17.160430622582,75.1671040087087
0.89,17.2576576364628,75.1496188032518
0.9,17.3543399483322,75.1324258334521
0.91,17.4504866117593,75.115517048596
0.92,17.5461064322574,75.0988847050886
0.93,17.6412079766954,75.0825213515524
0.94,17.7357995822555,75.0664198148009
0.95,17.8298893649638,75.0505731866259
0.96,17.9234852278167,75.0349748113436
0.97,18.0165948685282,75.0196182740493
0.98,18.1092257869184,75.0044973895327
0.99,18.2013852919635,74.9896061918102
1,18.2930805085261,74.9749389242352
