"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm] - Length='20.6mm' Width='10mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='20.6mm' Width='10mm'"
0.01,63.1826812723109,6.08709392607364
0.02,89.3538047623987,5.79256530744504
0.03,109.435614122073,5.66208428643902
0.04,126.365362544622,5.58430212395924
0.05,141.28077032559,5.53122098106781
0.06,154.765329698064,5.49203810918974
0.07,167.165661812793,5.4615851988839
0.08,178.707609524797,5.43703781464494
0.09,189.548043816933,5.41670485658778
0.1,199.801181496968,5.39950377855328
0.11,209.55324702887,5.38470518644122
0.12,218.871228244146,5.37179730414193
0.13,227.808397048615,5.36040903313814
0.14,236.407946098726,5.3502638447578
0.15,244.705472336391,5.34115089200467
0.16,252.730725089244,5.33290622290204
0.17,260.508868595473,5.32540016982276
0.18,268.061414287196,5.31852865037824
0.19,275.406922647943,5.3122070223772
0.2,282.56154065118,5.30636565145633
0.21,289.539419540634,5.30094665441556
0.22,296.353043987548,5.29590146662188
0.23,303.013494573169,5.29118899786601
0.24,309.530659396129,5.28677421551729
0.25,315.913406361555,5.2826270426906
0.26,322.169724728627,5.27872149186452
0.27,328.306842366219,5.27503497670957
0.28,334.331323625585,5.27154776036437
0.29,340.249151608045,5.26824250929741
0.3,346.065797765039,5.265103929676
0.31,351.78628113602,5.26211846879553
0.32,357.415219049595,5.25927406824489
0.33,362.956870745035,5.25655995853648
0.34,368.415175086188,5.25396648721259
0.35,373.793783317145,5.25148497416469
0.36,379.096087633865,5.24910758921631
0.37,384.325246206988,5.24682724803093
0.38,389.484205180159,5.24463752318863
0.39,394.575718079026,5.24253256788667
0.4,399.602362993936,5.24050705019906
0.41,404.566557840728,5.23855609621076
0.42,409.470573955998,5.2366752406443
0.43,414.316548243746,5.23486038383964
0.44,419.10649405774,5.23310775414303
0.45,423.84231097677,5.23141387491917
0.46,428.525793607442,5.22977553552963
0.47,433.158639530191,5.2281897657261
0.48,437.742456488292,5.22665381299339
0.49,442.278768906176,5.22516512244896
0.5,446.769023811993,5.22372131896488
0.51,451.214596229643,5.22232019122751
0.52,455.616794097231,5.22095967749149
0.53,459.97686276181,5.21963785281927
0.54,464.295989094193,5.21835291762648
0.55,468.57530526236,5.21710318737811
0.56,472.815892197451,5.21588708330132
0.57,477.018782782429,5.21470312399836
0.58,481.184964790037,5.21354991785835
0.59,485.315383593748,5.21242615617956
0.6,489.410944672783,5.21133060692476
0.61,493.47251592998,5.21026210904198
0.62,497.500929839355,5.20921956729121
0.63,501.496985438378,5.20820194752453
0.64,505.461450178487,5.20720827237344
0.65,509.395061645966,5.20623761730262
0.66,513.298529164127,5.20528910699374
0.67,517.172535286644,5.20436191202729
0.68,521.017737190945,5.2034552458338
0.69,524.834767979725,5.20256836188899
0.7,528.624237897857,5.20170055113003
0.71,532.386735471357,5.20085113957277
0.72,536.122828574392,5.20001948611154
0.73,539.833065429828,5.1992049804854
0.74,543.517975548301,5.19840704139594
0.75,547.178070610365,5.19762511476368
0.76,550.813845295886,5.19685867211102
0.77,554.425778064475,5.19610720906112
0.78,558.014331890461,5.19537024394291
0.79,561.579954955584,5.19464731649358
0.8,565.12308130236,5.19393798665059
0.81,568.644131450798,5.19324183342582
0.82,572.143512980957,5.19255845385567
0.83,575.621621083633,5.19188746202078
0.84,579.078839081267,5.1912284881302
0.85,582.515538921037,5.19058117766499
0.86,585.932081641913,5.18994519057674
0.87,589.32881781734,5.18932020053695
0.88,592.706087975095,5.18870589423336
0.89,596.064222995727,5.18810197071001
0.9,599.403544490903,5.18750814074765
0.91,602.724365162897,5.18692412628177
0.92,606.026989146338,5.18634965985543
0.93,609.311712333297,5.18578448410466
0.94,612.578822682675,5.18522835127395
0.95,615.828600514827,5.18468102275989
0.96,619.061318792258,5.18414226868107
0.97,622.277243387196,5.18361186747234
0.98,625.476633336791,5.18308960550201
0.99,628.659741086611,5.1825752767103
1,631.826812723109,5.18206868226772
