"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='30.3mm' Width='10mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='30.3mm' Width='10mm'"
0.01,0.105618755211652,10.3739407507792
0.02,0.149367476061283,9.88159466088013
0.03,0.182937050258762,9.66347724737553
0.04,0.211237510423304,9.53345340202182
0.05,0.236170716352164,9.44472079168447
0.06,0.258712057536469,9.37922109983785
0.07,0.279440960074239,9.32831476895245
0.08,0.298734952122565,9.28728035707229
0.09,0.316856265634957,9.25329095243603
0.1,0.3339958301006,9.22453692659037
0.11,0.350297781861444,9.19979899451332
0.12,0.365874100517523,9.17822165031999
0.13,0.380813837566291,9.15918455054499
0.14,0.395189195619547,9.1422254385456
0.15,0.409059679981887,9.12699185385583
0.16,0.422475020846609,9.11320972764314
0.17,0.435477283783898,9.10066230219645
0.18,0.448102428183848,9.08917558913634
0.19,0.460381480510152,9.07860809711264
0.2,0.472341432704329,9.06884342247446
0.21,0.484005940564408,9.0597848052962
0.22,0.495395873977666,9.05135106295025
0.23,0.506529755697091,9.04347350736151
0.24,0.517424115072939,9.03609357655115
0.25,0.528093776058261,9.0291609927674
0.26,0.538552093825594,9.02263231420612
0.27,0.548811150776285,9.01646978463481
0.28,0.558881920148478,9.01064041110845
0.29,0.568774403539143,9.00511521818652
0.3,0.578497747250382,8.99986864007253
0.31,0.588060341313905,8.99487802151095
0.32,0.59746990424513,8.99012320516837
0.33,0.606733555962701,8.98558618832866
0.34,0.615857880832585,8.98125083554859
0.35,0.624848982423803,8.97710263680356
0.36,0.633712531269913,8.97312850285024
0.37,0.642453806698178,8.9693165912218
0.38,0.651077733602861,8.96565615758015
0.39,0.659588914890098,8.96213742817055
0.4,0.667991660201201,8.95875148992741
0.41,0.676290011423217,8.95549019541489
0.42,0.684487765415332,8.95234608029249
0.43,0.692588494313711,8.94931229140073
0.44,0.700595563722888,8.94638252388889
0.45,0.708512149056493,8.94355096607113
0.46,0.716341250252357,8.94081225091291
0.47,0.724085705055395,8.93816141322561
0.48,0.731748201035047,8.93559385179222
0.49,0.739331286481565,8.93310529576656
0.5,0.746837380306413,8.93069177478759
0.51,0.754268781055801,8.92834959233294
0.52,0.761627675132583,8.92607530190472
0.53,0.768916144309847,8.92386568569856
0.54,0.776136172609408,8.92171773545559
0.55,0.783289652609582,8.91962863523818
0.56,0.790378391239094,8.91759574590503
0.57,0.797404115107364,8.91561659109104
0.58,0.804368475415724,8.91368884452256
0.59,0.811273052489158,8.91181031852022
0.6,0.818119359963773,8.90997895356014
0.61,0.824908848661471,8.90819280878038
0.62,0.831642910179875,8.90645005333293
0.63,0.838322880222717,8.90474895849379
0.64,0.844950041693218,8.9030878904538
0.65,0.851525627570791,8.90146530372187
0.66,0.858050823589307,8.89987973508007
0.67,0.864526770733415,8.89832979803684
0.68,0.870954567567795,8.89681417773045
0.69,0.877335272412813,8.89533162624036
0.7,0.88366990537877,8.89388095826814
0.71,0.889959450269832,8.8924610471543
0.72,0.896204856367695,8.8910708212004
0.73,0.902407040104132,8.88970926026925
0.74,0.908566886630786,8.88837539263865
0.75,0.914685251293809,8.88706829208667
0.76,0.920762961020303,8.88578707518855
0.77,0.926800815622934,8.8845308988073
0.78,0.93279958902853,8.88329895776186
0.79,0.938760030436029,8.88209048265811
0.8,0.944682865408658,8.88090473786946
0.81,0.95056879690487,8.87974101965498
0.82,0.956418506252169,8.87859865440421
0.83,0.962232654067658,8.87747699699855
0.84,0.968011881128816,8.87637542928033
0.85,0.973756809197762,8.87529335862118
0.86,0.979468041802011,8.87423021658228
0.87,0.98514616497448,8.87318545765952
0.88,0.990791747955333,8.87215855810735
0.89,0.996405343858032,8.87114901483545
0.9,1.0019874903018,8.87015634437309
0.91,1.00753871001255,8.86918008189624
0.92,1.01305951139418,8.86821978031298
0.93,1.01855038907198,8.86727500940314
0.94,1.02401182440982,8.86634535500847
0.95,1.02944428600269,8.86543041826975
0.96,1.03484823014588,8.8645298149078
0.97,1.04022410128227,8.86364317454528
0.98,1.04557233242898,8.86277014006669
0.99,1.05089334558433,8.86191036701408
1,1.05618755211652,8.86106352301593
