"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm] - Length='40mm' Width='10mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='40mm' Width='10mm'"
0.01,0.135276278456593,14.3039742995251
0.02,0.191309547660674,13.6733784681244
0.03,0.234305387345655,13.3940141458849
0.04,0.270552556913187,13.2274798795529
0.05,0.302486954372133,13.1138313397636
0.06,0.331357856521307,13.0299394728758
0.07,0.357907391082471,12.9647387518651
0.08,0.382619095321348,12.9121819638526
0.09,0.40582883536978,12.8686484062289
0.1,0.427781153314003,12.8318203106956
0.11,0.448660658676158,12.8001360195733
0.12,0.46861077469131,12.7724998027329
0.13,0.487745558329192,12.7481171255747
0.14,0.506157486542402,12.7263959307679
0.15,0.523922773599304,12.7068847876925
0.16,0.541105113826374,12.6892326695669
0.17,0.557758384717002,12.6731619535729
0.18,0.573928642982022,12.658449795762
0.19,0.589655627250559,12.6449149743118
0.2,0.604973908744267,12.6324083996722
0.21,0.619913785759264,12.6208061419351
0.22,0.634501988403069,12.6100042225626
0.23,0.64876224057856,12.5999146660132
0.24,0.662715713042614,12.5904624662283
0.25,0.676381392282967,12.5815832275697
0.26,0.689776383576381,12.5732213098663
0.27,0.702916162036965,12.5653283550155
0.28,0.715814782164942,12.557862105723
0.29,0.728485053984575,12.5507854503057
0.3,0.740938692060264,12.5440656441456
0.31,0.753186442326892,12.5376736704393
0.32,0.765238190642695,12.5315837117167
0.33,0.777103056184424,12.5257727101371
0.34,0.788789472194094,12.5202199994589
0.35,0.800305256110007,12.5149069952732
0.36,0.811657670739561,12.5098169329049
0.37,0.822853477833955,12.5049346445474
0.38,0.833898985187355,12.5002463688752
0.39,0.844800088192211,12.495739587684
0.4,0.855562306628005,12.4914028851382
0.41,0.866190817335129,12.4872258260191
0.42,0.8766904833228,12.4831988500152
0.43,0.887065879775471,12.4793131796144
0.44,0.897321317352316,12.4755607395771
0.45,0.9074608631164,12.4719340863084
0.46,0.917488359381757,12.4684263457219
0.47,0.927407440726078,12.4650311584143
0.48,0.93722154938262,12.4617426311568
0.49,0.946933949196154,12.4585552938586
0.5,0.956547738303369,12.4554640612895
0.51,0.966065860677395,12.4524641989517
0.52,0.975491116658385,12.4495512925778
0.53,0.984826172576911,12.4467212208108
0.54,0.99407356956392,12.4439701306792
0.55,1.00323573162972,12.4412944155359
0.56,1.0123149730848,12.4386906951744
0.57,1.02131350536686,12.4361557978714
0.58,1.03023344333108,12.4336867441407
0.59,1.03907681105435,12.431280732007
0.6,1.04784554719861,12.4289351236366
0.61,1.05654150997347,12.4266474331776
0.62,1.06516648173423,12.4244153156837
0.63,1.07372217324741,12.4222365570089
0.64,1.08221022765275,12.4201090645739
0.65,1.09063222414766,12.4180308589168
0.66,1.09898968141759,12.4160000659514
0.67,1.10728406083327,12.4140149098621
0.68,1.115516769434,12.4120737065769
0.69,1.12368916271429,12.4101748577616
0.7,1.13180254722925,12.4083168452887
0.71,1.13985818303317,12.406498226135
0.72,1.14785728596404,12.4047176276714
0.73,1.15580102978575,12.4029737433084
0.74,1.16369054819865,12.4012653284661
0.75,1.17152693672828,12.3995911968416
0.76,1.17931125450112,12.3979502169463
0.77,1.18704452591555,12.396341308892
0.78,1.19472774221541,12.3947634414047
0.79,1.20236186297312,12.3932156290458
0.8,1.20994781748853,12.3916969296265
0.81,1.21748650610934,12.3902064417968
0.82,1.22497880147838,12.388743302798
0.83,1.23242554971262,12.3873066863634
0.84,1.23982757151853,12.385895800758
0.85,1.2471856632477,12.3845098869446
0.86,1.25450059789689,12.3831482168681
0.87,1.26177312605584,12.3818100918478
0.88,1.26900397680614,12.3804948410717
0.89,1.27619385857434,12.3792018201826
0.9,1.28334345994201,12.3779304099524
0.91,1.29045345041539,12.3766800150353
0.92,1.29752448115712,12.375450062797
0.93,1.30455718568222,12.3742400022124
0.94,1.31155218052054,12.3730493028285
0.95,1.31851006584753,12.3718774537872
0.96,1.32543142608523,12.3707239629046
0.97,1.33231683047516,12.3695883558021
0.98,1.33916683362472,12.368470175087
0.99,1.34598197602847,12.3673689795783
1,1.35276278456593,12.3662843435752
