"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm] - Length='1.2mm' Width='3.4mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [pH] - Length='1.2mm' Width='3.4mm'"
0.01,5.38295479292859,230.159744413751
0.02,7.61264767380087,205.066883405393
0.03,9.32355119619873,193.950333375117
0.04,10.7659095858572,187.323551227011
0.05,12.0366528367966,182.801213985417
0.06,13.1854925511441,179.462963317204
0.07,14.2419597007922,176.868476407366
0.08,15.2252953476017,174.777120722832
0.09,16.1488643787858,173.044820164764
0.1,17.0223976873744,171.579345392488
0.11,17.8532413115894,170.318554448925
0.12,18.6471023923975,169.218845707694
0.13,19.4085195194087,168.248602806498
0.14,20.1411725636315,167.384266420049
0.15,20.8480942663998,166.607873083894
0.16,21.5318191717144,165.905454633641
0.17,22.1944911891694,165.265963817717
0.18,22.8379430214026,164.680533161978
0.19,23.4637559600236,164.141951432585
0.2,24.0733056735933,163.644286012844
0.21,24.6677978011206,163.182605446175
0.22,25.2482959951693,162.752772186992
0.23,25.8157442844942,162.351285485809
0.24,26.3709851022883,161.975160678738
0.25,26.914773964643,161.621835314967
0.26,27.4477915299307,161.289095343903
0.27,27.9706535885962,160.97501648522
0.28,28.4839194015845,160.677917223819
0.29,28.9880987092751,160.39632080033
0.3,29.4836576611754,160.128924230956
0.31,29.9710238627929,159.874572870235
0.32,30.4505906952035,159.632239381552
0.33,30.9227210314604,159.401006240298
0.34,31.3877504496936,159.180051089105
0.35,31.845990023784,158.96863441153
0.36,32.2977287575715,158.766089102518
0.37,32.7432357167153,158.571811600105
0.38,33.182761902878,158.385254309441
0.39,33.6165419073081,158.205919102333
0.4,34.0447953747488,158.03335171638
0.41,34.4677283036064,157.867136910192
0.42,34.885534204222,157.706894256946
0.43,35.298395133726,157.552274479209
0.44,35.7064826231788,157.402956244598
0.45,36.1099585103899,157.25864335532
0.46,36.5089756898875,157.119062275635
0.47,36.9036787898918,156.983959950243
0.48,37.2942047847949,156.853101873983
0.49,37.6806835505001,156.72627037934
0.5,38.0632383690044,156.603263113296
0.51,38.4419863877812,156.483891679265
0.52,38.8170390388174,156.367980423385
0.53,39.1885024215494,156.255365347362
0.54,39.5564776534324,156.145893132582
0.55,39.9210611914214,156.039420262251
0.56,40.2823451272629,155.93581223016
0.57,40.640417459158,155.834942826137
0.58,40.9953623420668,155.736693489553
0.59,41.3472603186724,155.640952723363
0.6,41.6961885327997,155.547615562082
0.61,42.0422209268907,155.456583087937
0.62,42.3854284249693,155.367761990113
0.63,42.7258791023767,155.281064162636
0.64,43.0636383434287,155.196406336956
0.65,43.3987689880294,155.11370974573
0.66,43.7313314681711,155.03289981474
0.67,44.0613839351621,154.953905880198
0.68,44.3889823783389,154.876660928994
0.69,44.7141807359499,154.801101359736
0.7,45.0370309988337,154.727166762625
0.71,45.3575833074538,154.654799716446
0.72,45.6758860428052,154.583945601125
0.73,45.9919859116568,154.514552424454
0.74,46.3059280265578,154.446570661736
0.75,46.6177559809936,154.379953107241
0.76,46.9275119200473,154.314654736428
0.77,47.2352366068901,154.250632578066
0.78,47.5409694853987,154.187845595377
0.79,47.8447487391701,154.126254575497
0.8,48.1466113471865,154.065822026558
0.81,48.4465931363573,154.006512081769
0.82,48.7447288311511,153.948290409969
0.83,49.0410521005124,153.891124132107
0.84,49.3355956022412,153.834981743223
0.85,49.628391025003,153.779833039479
0.86,49.9194691281198,153.72564904988
0.87,50.2088597792862,153.672401972319
0.88,50.4965919903387,153.620065113632
0.89,50.782693951202,153.568612833369
0.9,51.0671930621232,153.51802049101
0.91,51.3501159642982,153.468264396381
0.92,51.6314885689885,153.41932176304
0.93,51.9113360852165,153.371170664429
0.94,52.1896830461252,153.323789992601
0.95,52.4665533340787,153.277159419338
0.96,52.7419702045765,153.231259359504
0.97,53.0159563090505,153.186070936487
0.98,53.2885337166061,153.141575949574
0.99,53.5597239347682,153.097756843156
1,53.8295479292859,153.054596677619
