"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm] - Length='10.9mm' Width='5.6mm'","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH] - Length='10.9mm' Width='5.6mm'"
0.01,49.7682773888141,3.45826069321859
0.02,70.3829728592072,3.22626385966102
0.03,86.2011850426074,3.12348544765575
0.04,99.5365547776283,3.06221732543867
0.05,111.285251364454,3.02040591461629
0.06,121.906884979888,2.98954201335015
0.07,131.674485150881,2.96555460324222
0.08,140.765945718414,2.94621890865989
0.09,149.304832166442,2.93020286951203
0.1,157.38111177171,2.91665377653641
0.11,165.062702561025,2.90499709431961
0.12,172.402370085215,2.89482970265725
0.13,179.442076016884,2.88585929147997
0.14,186.215842718871,2.87786804230683
0.15,192.751709496308,2.87068987336375
0.16,199.073109555257,2.86419564154871
0.17,205.19986447912,2.85828320915074
0.18,211.148918577622,2.85287059165951
0.19,216.934891731941,2.84789111738635
0.2,222.570502728908,2.84328993613752
0.21,228.0668983418,2.83902145397653
0.22,233.433912603758,2.83504741709588
0.23,238.680273562246,2.83133545920639
0.24,243.813769959776,2.82785798550445
0.25,248.841386944071,2.82459130477071
0.26,253.769417563462,2.82151494693096
0.27,258.603555127822,2.81861112099108
0.28,263.348970301762,2.81586428045048
0.29,268.01037590595,2.81326077188409
0.3,272.592081740278,2.81078854851433
0.31,277.098041244879,2.80843693503037
0.32,281.531891436829,2.80619643315932
0.33,285.896987270325,2.80405855989861
0.34,290.196431343492,2.80201571211741
0.35,294.433099699657,2.80006105259323
0.36,298.609664332885,2.79818841358539
0.37,302.728612898167,2.79639221484279
0.38,306.79226603925,2.79466739356009
0.39,310.80279267688,2.79300934427744
0.4,314.76222354342,2.79141386709758
0.41,318.672463203597,2.78987712289319
0.42,322.535300763339,2.78839559441617
0.43,326.352419437558,2.78696605241104
0.44,330.12540512205,2.78558552598918
0.45,333.855754093362,2.78425127664459
0.46,337.544879942649,2.78296077539404
0.47,341.194119834659,2.78171168260678
0.48,344.80474017043,2.780501830158
0.49,348.377941721699,2.77932920559587
0.5,351.914864296036,2.7781919380592
0.51,355.416590984084,2.77708828572147
0.52,358.884152033769,2.77601662456936
0.53,362.318528390762,2.77497543835152
0.54,365.720654939665,2.77396330955588
0.55,369.091423476281,2.77297891129343
0.56,372.431685437742,2.77202099998279
0.57,375.742254414176,2.77108840874385
0.58,379.023908462906,2.77018004142061
0.59,382.277392243835,2.76929486716364
0.6,385.503418992617,2.76843191551125
0.61,388.702672346418,2.76759027191606
0.62,391.875808035526,2.76676907367001
0.63,395.023455452644,2.76596750618657
0.64,398.146219110513,2.76518479960373
0.65,401.244679997438,2.76442022567554
0.66,404.319396839301,2.76367309492376
0.67,407.370907275847,2.76294275402409
0.68,410.39972895824,2.76222858340474
0.69,413.40636057425,2.76152999503704
0.7,416.391282806805,2.76084643040029
0.71,419.354959231134,2.76017735860485
0.72,422.297837155243,2.75952227465913
0.73,425.22034840803,2.75888069786751
0.74,428.122910078982,2.75825217034788
0.75,431.005925213037,2.75763625565815
0.76,433.869783463882,2.75703253752255
0.77,436.714861708697,2.75644061864918
0.78,439.541524627078,2.75586011963124
0.79,442.350125246671,2.75529067792498
0.8,445.141005457817,2.75473194689813
0.81,447.914496499327,2.75418359494317
0.82,450.670919417368,2.75364530465026
0.83,453.41058549922,2.75311677203512
0.84,456.1337966836,2.75259770581764
0.85,458.840845949056,2.75208782674729
0.86,461.532017681867,2.75158686697182
0.87,464.207588024739,2.75109456944599
0.88,466.867825207516,2.75061068737731
0.89,469.512989861032,2.75013498370621
0.9,472.14333531513,2.74966723061797
0.91,474.759107881824,2.74920720908434
0.92,477.360547124493,2.74875470843257
0.93,479.947886113946,2.74830952593997
0.94,482.521351672126,2.74787146645237
0.95,485.081164604177,2.74744034202457
0.96,487.627539919553,2.7470159715816
0.97,490.160687042775,2.74659818059914
0.98,492.68081001445,2.74618680080193
0.99,495.188107683075,2.74578166987903
1,497.682773888141,2.74538263121473
