"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [pH]","C(SignalNet1,SignalNet1) [pF]"
0.1,40.0305758700718,335.638801217302,
0.11,41.9844221698779,332.673872982776,
0.12,43.8512987879206,330.087752331074,
0.13,45.6418788596224,327.806088914318,
0.14,47.3648161221534,325.773479646784,
0.15,49.0272424957223,323.947680900992,
0.16,50.6351183190414,322.295844562671,
0.17,52.1934852987638,320.79199145718,
0.18,53.706653294366,319.415268464825,
0.19,55.1783409367316,318.14871734925,
0.2,56.6117833050607,316.978386723169,
0.21,58.0098156300131,315.892679568912,
0.22,59.3749392410389,314.881865862805,
0.23,60.709374155282,313.937713097272,
0.24,62.0151014735522,313.05320241302,
0.25,63.2938978988017,312.222307844523,
0.26,64.5473640954679,311.439822738646,
0.27,65.776948181881,310.701221878026,
0.28,66.9839653392572,310.00255094207,
0.29,68.1696142941983,309.34033712224,
0.3,69.3349912632051,308.711516267839,
0.31,70.48110182111,308.113373066746,
0.32,71.6088710591547,307.543491591602,
0.33,72.7191523246496,306.999714153508,
0.34,73.8127347770326,306.480106862801,
0.35,74.8903499505344,305.982930641958,
0.36,75.9526774785621,305.506616699091,
0.37,77.0003501070705,305.049745672868,
0.38,78.0339581019724,304.611029816549,
0.39,79.0540531377699,304.189297711227,
0.4,80.0611517401436,303.783481094616,
0.41,81.0557383434835,303.392603467854,
0.42,82.0382680147272,303.015770203458,
0.43,83.009168886968,302.652159926142,
0.44,83.9688443397557,302.301016977354,
0.45,84.917674957591,301.96164480609,
0.46,85.8560202935825,301.633400154369,
0.47,86.7842204614468,301.315687926859,
0.48,87.7025975758413,301.007956651502,
0.49,88.6114570583224,300.709694452354,
0.5,89.5110888239433,300.420425467667,
0.51,90.4017683615582,300.139706656226,
0.52,91.2837577192448,299.867124943125,
0.53,92.1573064048356,299.602294663184,
0.54,93.0226522103283,299.34485526599,
0.55,93.8800219678961,299.094469251506,
0.56,94.7296322443068,298.850820309357,
0.57,95.5716899797768,298.613611638471,
0.58,96.4063930765981,298.38256442676,
0.59,97.2339309422821,298.157416473151,
0.6,98.0544849914447,297.937920936462,
0.61,98.868229110197,297.723845197554,
0.62,99.6753300864129,297.514969822848,
0.63,100.475948008886,297.31108761869,
0.64,101.270236638083,297.112002767301,
0.65,102.058343750926,296.917530036134,
0.66,102.840411461794,296.727494053369,
0.67,103.616576521714,296.54172864311,
0.68,104.386970597528,296.360076214556,
0.69,105.151720532657,296.182387200032,
0.7,105.910948590913,296.008519537353,
0.71,106.664772684687,295.838338192412,
0.72,107.413306588732,295.671714718378,
0.73,108.156660140621,295.508526848219,
0.74,108.894939428896,295.348658117608,
0.75,109.628246969802,295.191997515588,
0.76,110.356681873463,295.038439160591,
0.77,111.080340000244,294.88788199968,
0.78,111.799314107997,294.740229529073,
0.79,112.513693990854,294.595389534176,
0.8,113.223566610121,294.45327384755,
0.81,113.929016217843,294.313798123371,
0.82,114.630124473519,294.176881627053,
0.83,115.326970554435,294.042447038861,
0.84,116.019631260026,293.910420270421,
0.85,116.708181110672,293.78073029314,
0.86,117.392692441269,293.653308977622,
0.87,118.073235489925,293.528090943281,
0.88,118.749878482078,293.405013417368,
0.89,119.422687710323,293.284016102737,
0.9,120.091727610215,293.165041053721,
0.91,120.757060832297,293.048032559523,
0.92,121.418748310564,292.932937034601,
0.93,122.076849327598,292.819702915556,
0.94,122.731421576555,292.708280564063,
0.95,123.382521220191,292.59862217544,
0.96,124.030202947104,292.490681692475,
0.97,124.67452002534,292.384414724139,
0.98,125.315524353521,292.279778468885,
0.99,125.953266509634,292.176731642213,
1,126.587795797603,292.075234408227,
