"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
0.1,1.8653519636561,26.8502853816318,
0.11,1.95639764443409,26.7121251232753,
0.12,2.04339069636201,26.5916166086948,
0.13,2.12682846812111,26.4852952470271,
0.14,2.20711420811021,26.3905793553335,
0.15,2.28458025082804,26.3055004574741,
0.16,2.35950433720836,26.2285278911207,
0.17,2.43212140160327,26.1584510740276,
0.18,2.50263227561866,26.0942982887782,
0.19,2.57121024068429,26.0352793124293,
0.2,2.63800604560174,25.9807440357305,
0.21,2.70315180695848,25.9301520587697,
0.22,2.76676408215346,25.8830499801561,
0.23,2.82894631994424,25.8390541800234,
0.24,2.88979083602215,25.7978375923055,
0.25,2.94938042151045,25.7591194179788,
0.26,3.00778966445806,25.7226570364853,
0.27,3.06508604454301,25.6882395809337,
0.28,3.12133084681581,25.6556827871827,
0.29,3.17657992975392,25.6248248286764,
0.3,3.23088437505074,25.5955229215704,
0.31,3.2842910406629,25.5676505372628,
0.32,3.33684303415821,25.5410950979365,
0.33,3.38858011996791,25.5157560592169,
0.34,3.4395390714852,25.4915433053661,
0.35,3.48975397687356,25.4683757985372,
0.36,3.53925650581254,25.4461804358842,
0.37,3.58807614311179,25.4248910777529,
0.38,3.63624039408832,25.4044477174893,
0.39,3.68377496576964,25.3847957691048,
0.4,3.7307039273122,25.3658854535216,
0.41,3.7770498524767,25.3476712676704,
0.42,3.82283394655403,25.330111523539,
0.43,3.86807615976694,25.3131679465343,
0.44,3.91279528886817,25.2968053243434,
0.45,3.95700906840261,25.2809911989575,
0.46,4.0007342528906,25.2656955957258,
0.47,4.04398669101218,25.2508907842889,
0.48,4.08678139272401,25.2365510670531,
0.49,4.12913259011463,25.222652591531,
0.5,4.17105379269776,25.2091731834315,
0.51,4.21255783775249,25.1960921978405,
0.52,4.25365693624221,25.1833903862193,
0.53,4.29436271477772,25.1710497772726,
0.54,4.33468625403323,25.1590535700075,
0.55,4.37463812397508,25.1473860375367,
0.56,4.41422841622041,25.1360324403725,
0.57,4.4534667738066,25.1249789481252,
0.58,4.49236241862017,25.1142125686591,
0.59,4.53092417670639,25.1037210838816,
0.6,4.56916050165608,25.0934929914428,
0.61,4.60707949624549,25.0835174517144,
0.62,4.64468893248592,25.073784239491,
0.63,4.68199627022371,25.0642836999256,
0.64,4.71900867441673,25.055006708266,
0.65,4.75573303120054,25.0459446330129,
0.66,4.79217596284646,25.0370893021587,
0.67,4.82834384170338,25.028432972209,
0.68,4.86424280320653,25.0199682997195,
0.69,4.89987875802842,25.0116883151088,
0.7,4.93525740344004,25.0035863985376,
0.71,4.97038423394422,24.9956562576625,
0.72,5.00526455123731,24.9878919070948,
0.73,5.0399034735503,24.9802876494135,
0.74,5.07430594441604,24.972838057593,
0.75,5.10847674090502,24.9655379587248,
0.76,5.14242048136858,24.9583824189204,
0.77,5.17614163272516,24.9513667292971,
0.78,5.20964451732191,24.9444863929542,
0.79,5.24293331940182,24.9377371128595,
0.8,5.27601209120349,24.931114780571,
0.81,5.30888475871882,24.9246154657266,
0.82,5.34155512713185,24.9182354062418,
0.83,5.37402688595992,24.9119709991575,
0.84,5.40630361391697,24.9058187920905,
0.85,5.43838878351697,24.8997754752376,
0.86,5.47028576543445,24.893837873893,
0.87,5.50199783263737,24.8880029414403,
0.88,5.53352816430692,24.8822677527838,
0.89,5.56487984955735,24.8766294981862,
0.9,5.5960558909683,24.8710854774849,
0.91,5.62705920794091,24.8656330946582,
0.92,5.65789263988848,24.8602698527174,
0.93,5.6885589492714,24.8549933489019,
0.94,5.71906082448572,24.8498012701562,
0.95,5.74940088261367,24.8446913888692,
0.96,5.77958167204431,24.8396615588585,
0.97,5.80960567497158,24.834709711583,
0.98,5.83947530977686,24.8298338525686,
0.99,5.86919293330226,24.8250320580327,
1,5.89876084302091,24.8203024716951,
