"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [mOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
0.1,0.475037431351643,4.91657347946091,
0.11,0.498223461213624,4.88138907698711,
0.12,0.520377433621213,4.85069993288043,
0.13,0.541626005229362,4.82362374161546,
0.14,0.562071868767005,4.79950304226492,
0.15,0.581799657766958,4.77783653541323,
0.16,0.600880102762828,4.75823441692969,
0.17,0.619373033005783,4.74038839546148,
0.18,0.637329593015498,4.72405100985669,
0.19,0.654793911281875,4.70902101901741,
0.2,0.671804378052371,4.69513286371706,
0.21,0.688394638625876,4.68224892371499,
0.22,0.704594375940773,4.67025373413584,
0.23,0.720429934640339,4.65904960092532,
0.24,0.735924824180025,4.64855323222919,
0.25,0.751100128453535,4.63869311872936,
0.26,0.765974842329324,4.62940747377703,
0.27,0.78056615043182,4.62064259722962,
0.28,0.794889659838689,4.6123515636993,
0.29,0.808959595676436,4.60449316183671,
0.3,0.822788966598058,4.59703102977985,
0.31,0.836389705624129,4.58993294528689,
0.32,0.84977279068733,4.58317023887452,
0.33,0.862948348344818,4.57671730554032,
0.34,0.875925743444938,4.57055119607714,
0.35,0.888713657005497,4.56465127308715,
0.36,0.901320154144242,4.55899891992913,
0.37,0.913752743571868,4.55357729323407,
0.38,0.926018429894154,4.54837111148551,
0.39,0.938123759757821,4.54336647361368,
0.4,0.950074862703285,4.53855070269446,
0.41,0.961877487447951,4.53391221074789,
0.42,0.973537034209639,4.5294403813506,
0.43,0.985058583585878,4.52512546735311,
0.44,0.996446922427248,4.52095850145756,
0.45,1.00770656707856,4.51693121778738,
0.46,1.01884178430793,4.51303598288708,
0.47,1.02985661019886,4.5092657348408,
0.48,1.04075486724243,4.50561392940422,
0.49,1.05154017983495,4.50207449221469,
0.5,1.06221598835916,4.49864177628521,
0.51,1.07278556200405,4.49531052410558,
0.52,1.08325201045872,4.49207583377174,
0.53,1.09361829459889,4.48893312864714,
0.54,1.10388723627004,4.4858781301288,
0.55,1.11406152725889,4.48290683314939,
0.56,1.12414373753401,4.48001548409646,
0.57,1.13413632282696,4.47720056087182,
0.58,1.14404163161747,4.47445875485014,
0.59,1.15386191157889,4.47178695452672,
0.6,1.16359931553392,4.46918223067062,
0.61,1.17325590696553,4.46664182282199,
0.62,1.18283366512288,4.46416312699222,
0.63,1.19233448975803,4.4617436844422,
0.64,1.20176020552566,4.45938117142885,
0.65,1.21111256607451,4.45707338982257,
0.66,1.2203932578567,4.4548182585097,
0.67,1.22960390367818,4.45261380550334,
0.68,1.23874606601157,4.45045816069474,
0.69,1.24782125009059,4.44834954918456,
0.7,1.25683090680336,4.44628628514004,
0.71,1.2657764354003,4.44426676612969,
0.72,1.274659186031,4.44228946789235,
0.73,1.2834804621231,4.44035293950165,
0.74,1.29224152261496,4.43845579889121,
0.75,1.30094358405303,4.43659672870897,
0.76,1.30958782256375,4.43477447247271,
0.77,1.31817537570908,4.43298783100088,
0.78,1.32670734423395,4.43123565909615,
0.79,1.33518479371315,4.42951686246039,
0.8,1.34360875610474,4.42783039482253,
0.81,1.35198023121636,4.42617525526209,
0.82,1.36030018809025,4.42455048571264,
0.83,1.36856956631254,4.42295516863135,
0.84,1.37678927725175,4.4213884248215,
0.85,1.38496020523115,4.41984941139636,
0.86,1.39308320863918,4.41833731987364,
0.87,1.40115912098196,4.41685137439073,
0.88,1.40918875188155,4.41539083003192,
0.89,1.41717288802319,4.41395497125914,
0.9,1.42511229405493,4.41254311043898,
0.91,1.43300771344226,4.41115458645894,
0.92,1.44085986928068,4.40978876342666,
0.93,1.44866946506857,4.40844502944624,
0.94,1.45643718544281,4.40712279546638,
0.95,1.46416369687924,4.40582149419541,
0.96,1.47184964836005,4.4045405790786,
0.97,1.47949567200993,4.40327952333362,
0.98,1.48710238370283,4.4020378190403,
0.99,1.49467038364087,4.40081497628104,
1,1.50220025690707,4.39961052232868,
