"Freq [MHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [nH]","C(SignalNet1,SignalNet1) [pF]"
0.1,63.5507531843286,4.28917577787424,
0.11,66.6525922476013,4.2844687903192,
0.12,69.6163621310001,4.28036318075279,
0.13,72.4590070273123,4.27674091388562,
0.14,75.1942652229121,4.27351403425489,
0.15,77.8334590355792,4.27061547776561,
0.16,80.3860508326708,4.2679930962196,
0.17,82.860044602343,4.2656056462403,
0.18,85.2622824848821,4.26342002234685,
0.19,87.5986680124839,4.26140930240111,
0.2,89.8743370523027,4.25955133780416,
0.21,92.0937906898205,4.25782771764904,
0.22,94.2609999238816,4.25622299498503,
0.23,96.3794891544853,4.25472410025103,
0.24,98.4524034887371,4.25331989061971,
0.25,100.482563540838,4.25200079953753,
0.26,102.472510454112,4.25075856115467,
0.27,104.4245431965,4.24958599143828,
0.28,106.340749690922,4.24847681268571,
0.29,108.223032982156,4.24742551162135,
0.3,110.073133374527,4.24642722373649,
0.31,111.892647273697,4.24547763832295,
0.32,113.683043313176,4.24457291996245,
0.33,115.445676229017,4.24370964320451,
0.34,117.181798855473,4.24288473789234,
0.35,118.892572543595,4.24209544314418,
0.36,120.579076249006,4.24133926841616,
0.37,122.242314490904,4.24061396039364,
0.38,123.883224349073,4.23991747470746,
0.39,125.502681637295,4.23924795166532,
0.4,127.101506368657,4.23860369534175,
0.41,128.680467609546,4.23798315549081,
0.42,130.240287803893,4.23738491184188,
0.43,131.781646636664,4.23680766041627,
0.44,133.305184495203,4.23625020156423,
0.45,134.811505578454,4.23571142947252,
0.46,136.301180696864,4.23519032293353,
0.47,137.774749799768,4.23468593720049,
0.48,139.232724262,4.23419739678102,
0.49,140.675588957174,4.23372388904374,
0.5,142.10380414147,4.23326465853181,
0.51,143.517807168681,4.23281900189279,
0.52,144.918014054625,4.23238626334744,
0.53,146.304820906783,4.23196583063093,
0.54,147.678605233106,4.23155713134956,
0.55,149.039727142212,4.23115962970335,
0.56,150.388530445824,4.23077282353207,
0.57,151.725343672981,4.23039624164763,
0.58,153.050481004516,4.23002944142039,
0.59,154.36424313533,4.22967200659167,
0.6,155.666918071158,4.22932354528743,
0.61,156.958781865821,4.22898368821192,
0.62,158.240099304291,4.22865208700221,
0.63,159.511124536383,4.22832841272689,
0.64,160.772101665342,4.22801235451443,
0.65,162.023265295205,4.2277036182979,
0.66,163.264841040409,4.22740192566485,
0.67,164.49704600077,4.22710701280185,
0.68,165.720089204686,4.22681862952478,
0.69,166.934172023102,4.22653653838669,
0.7,168.13948855658,4.226260513856,
0.71,169.336225997563,4.2259903415586,
0.72,170.524564969764,4.22572581757805,
0.73,171.704679846406,4.22546674780866,
0.74,172.876739048914,4.22521294735688,
0.75,174.0409053275,4.22496423998667,
0.76,175.197336024968,4.22472045760518,
0.77,176.346183324945,4.2244814397853,
0.78,177.487594485656,4.22424703332192,
0.79,178.621712060248,4.22401709181929,
0.8,179.748674104605,4.22379147530671,
0.81,180.868614373509,4.22357004988052,
0.82,181.981662505931,4.22335268737011,
0.83,183.087944200191,4.22313926502611,
0.84,184.187581379641,4.22292966522915,
0.85,185.280692349504,4.22272377521739,
0.86,186.367391945428,4.22252148683165,
0.87,187.447791674297,4.22232269627664,
0.88,188.521999847763,4.22212730389714,
0.89,189.59012170899,4.22193521396811,
0.9,190.652259552986,4.22174633449758,
0.91,191.70851284095,4.2215605770416,
0.92,192.758978308971,4.22137785653014,
0.93,193.803750071426,4.22119809110346,
0.94,194.842919719392,4.22102120195798,
0.95,195.87657641435,4.22084711320111,
0.96,196.904806977474,4.22067575171448,
0.97,197.927695974732,4.22050704702489,
0.98,198.945325798058,4.22034093118251,
0.99,199.957776742804,4.2201773386459,
1,200.965127081677,4.22001620617339,
