"Freq [kHz]","ACR(SignalNet1:Source1,SignalNet1:Source1) [uOhm]","ACL(SignalNet1:Source1,SignalNet1:Source1) [pH]","C(SignalNet1,SignalNet1) [pF]"
10,12.6587795797603,473.398895334891,
11,13.2766400302883,464.02296901485,
12,13.866998252641,455.844937451472,
13,14.4332293885895,448.629684200641,
14,14.9780699901069,442.202009322066,
15,15.5037753683881,436.428326736286,
16,16.0122303480287,431.204761585358,
17,16.5050292566608,426.44916050569,
18,16.9835349915182,422.095580142725,
19,17.4489234869381,418.090393844482,
20,17.9022177647887,414.389483450614,
21,18.3443144037277,410.956175971222,
22,18.7760043935792,407.759702369807,
23,19.1979897654052,404.774029171577,
24,19.6108969982889,401.976960794585,
25,20.0152879350359,399.349441462672,
26,20.4116687501853,396.875006292944,
27,20.8004973789615,394.539345291625,
28,21.1821897181826,392.329953799041,
29,21.5571248384838,390.235849830337,
30,21.9256493939603,388.247343690218,
31,22.2880813752949,386.355848807821,
32,22.6447133220243,384.553725350026,
33,22.9958150862621,382.83415010544,
34,23.3416362221344,381.191007577975,
35,23.6824080610767,379.618798321637,
36,24.0183455220431,378.112561380882,
37,24.3496486968733,376.66780834108,
38,24.6765042440383,375.280466989479,
39,24.9990866183334,373.946832974244,
40,25.3175591595207,372.663528153411,
41,25.6320750592051,371.427464566443,
42,25.9427782221878,370.235813152835,
43,26.2498040360403,369.08597649587,
44,26.5532800605766,367.97556499339,
45,26.853326647183,366.902375957719,
46,27.1500574965359,365.864375228515,
47,27.4435801620361,364.859680949095,
48,27.733996505282,363.886549211701,
49,28.0214031090503,362.94336132246,
50,28.3058916525303,362.028612474407,
51,28.5875492529472,361.140901648197,
52,28.8664587771791,360.278922586286,
53,29.1426991265304,359.441455708292,
54,29.4163454974334,358.6273608537,
55,29.6874696205195,357.835570753679,
56,29.9561399802138,357.065085146998,
57,30.2224220167586,356.314965466255,
58,30.4863783123538,355.584330030218,
59,30.7480687629134,354.87234968629,
60,31.0075507367761,354.178243854108,
61,31.2648792215585,353.501276927376,
62,31.5201069602173,352.840754996186,
63,31.7732845772739,352.196022856671,
64,32.0244606960574,351.566461278644,
65,32.2736820477339,350.951484505362,
66,32.5209935728157,350.350537962436,
67,32.7664385157743,349.763096155545,
68,33.0100585133215,349.188660738811,
69,33.2518936768691,348.626758737726,
70,33.4919826696286,348.076940912209,
71,33.7303627787724,347.538780246924,
72,33.9670699830364,347.011870557328,
73,34.2021390161111,346.495825201112,
74,34.4356034261385,345.990275885744,
75,34.6674956316025,345.494871563747,
76,34.8978469738761,345.009277408206,
77,35.1266877666679,344.533173861681,
78,35.3540473425868,344.066255752412,
79,35.57995409703,343.608231472248,
80,35.8044355295773,343.158822211272,
81,36.0275182830646,342.717761244565,
82,36.249228180493,342.284793266949,
83,36.4695902599186,341.859673771956,
84,36.6886288074554,341.442168471576,
85,36.9063673885163,341.032052753671,
86,37.1228288774042,340.62911117418,
87,37.338035485359,340.233136981534,
88,37.5520087871584,339.843931670869,
89,37.7647697463618,339.461304565872,
90,37.976338739281,339.085072426251,
91,38.1867355777567,338.715059078998,
92,38.3959795308104,338.351095071754,
93,38.6040893452404,337.993017346728,
94,38.8110832652246,337.640668933757,
95,39.0169790509862,337.293898661166,
96,39.2217939965779,336.952560883258,
97,39.4255449468348,336.616515223276,
98,39.6282483135425,336.285626330843,
99,39.8299200908648,335.959763652904,
100,40.0305758700718,335.638801217302,
101,40.2302308536065,335.322617428164,
102,40.4288998685268,335.011094872356,
103,40.6265973793556,334.704120136287,
104,40.8233375003705,334.401583632438,
105,41.0191340073636,334.103379434986,
106,41.2140003488978,333.809405123989,
107,41.4079496570869,333.519561637592,
108,41.6009947579231,333.233753131778,
109,41.7931481811748,332.951886847215,
110,41.9844221698779,332.673872982776,
111,42.1748286894378,332.399624575335,
112,42.3643794363652,332.129057385486,
113,42.55308584666,331.862089788831,
114,42.7409591038633,331.598642672531,
115,42.9280101467912,331.338639336808,
116,43.1142496769677,331.082005401134,
117,43.2996881657686,330.828668714834,
118,43.4843358612926,330.578559271871,
119,43.6682027949696,330.331609129567,
120,43.8512987879206,330.087752331074,
121,44.033633457079,329.846924831359,
122,44.2152162210848,329.609064426542,
123,44.3960563059623,329.374110686402,
124,44.5761627505898,329.142004889876,
125,44.7555444119717,328.912689963404,
126,44.9342099703207,328.686110421976,
127,45.1121679339594,328.462212312729,
128,45.2894266440486,328.240943160979,
129,45.4659942791484,328.022251918553,
130,45.6418788596224,327.806088914318,
131,45.8170882518885,327.592405806783,
132,45.9916301725242,327.381155538685,
133,46.1655121922321,327.172292293456,
134,46.3387417396721,326.96577145348,
135,46.5113261051642,326.761549560049,
136,46.6832724442687,326.559584274953,
137,46.8545877812485,326.359834343601,
138,47.0252790124164,326.162259559624,
139,47.1953529093756,325.966820730878,
140,47.3648161221534,325.773479646784,
141,47.5336751822358,325.582199046948,
142,47.7019365055046,325.392942590993,
143,47.8696063950822,325.205674829558,
144,48.0366910440862,325.020361176406,
145,48.203196538299,324.836967881589,
146,48.3691288587543,324.655462005627,
147,48.5344938842436,324.475811394657,
148,48.6992973937466,324.297984656505,
149,48.8635450687879,324.121951137644,
150,49.0272424957223,323.947680900992,
151,49.1903951679518,323.775144704535,
152,49.3530084880765,323.604313980705,
153,49.5150877699823,323.435160816517,
154,49.6766382408668,323.26765793441,
155,49.8376650432064,323.101778673766,
156,49.9981732366667,322.937496973087,
157,50.1581677999569,322.774787352796,
158,50.317653632632,322.613624898635,
159,50.4766355568438,322.45398524564,
160,50.6351183190414,322.295844562671,
161,50.7931065916254,322.139179537463,
162,50.9506049745546,321.983967362195,
163,51.1076179969093,321.830185719541,
164,51.2641501184103,321.677812769187,
165,51.4202057308972,321.526827134807,
166,51.5757891597666,321.377207891462,
167,51.7309046653699,321.228934553423,
168,51.8855564443756,321.081987062383,
169,52.0397486310933,320.936345776062,
170,52.1934852987638,320.79199145718,
171,52.3467704608142,320.648905262781,
172,52.4996080720806,320.507068733901,
173,52.6520020299985,320.366463785565,
174,52.8039561757626,320.227072697106,
175,52.9554742954565,320.088878102775,
176,53.1065601211531,319.951862982661,
177,53.2572173319875,319.816010653881,
178,53.407449555202,319.681304762051,
179,53.5572603671653,319.547729273015,
180,53.706653294366,319.415268464825,
181,53.8556318143807,319.283906919974,
182,54.0041993568188,319.153629517853,
183,54.1523593042438,319.024421427443,
184,54.3001149930718,318.896268100223,
185,54.4474697144478,318.769155263286,
186,54.5944267151017,318.643068912666,
187,54.7409891981822,318.517995306855,
188,54.8871603240722,318.393920960513,
189,55.032943211183,318.270832638361,
190,55.1783409367316,318.14871734925,
191,55.3233565374977,318.027562340402,
192,55.4679930105641,317.907355091816,
193,55.6122533140393,317.788083310832,
194,55.7561403677637,317.669734926854,
195,55.8996570539987,317.552298086216,
196,56.0428062181005,317.435761147196,
197,56.1855906691784,317.320112675167,
198,56.3280131807377,317.20534143789,
199,56.4700764913087,317.091436400922,
200,56.6117833050607,316.978386723169,
201,56.7531362924028,316.866181752547,
202,56.8941380905708,316.754811021769,
203,57.0347913042016,316.644264244238,
204,57.1750985058944,316.534531310064,
205,57.3150622367596,316.425602282174,
206,57.4546850069559,316.317467392537,
207,57.5939692962155,316.210117038479,
208,57.7329175543582,316.103541779108,
209,57.8715322017934,315.997732331822,
210,58.0098156300131,315.892679568912,
211,58.1477702020723,315.78837451426,
212,58.2853982530608,315.684808340112,
213,58.422702090564,315.581972363942,
214,58.5596839951147,315.479858045397,
215,58.6963462206344,315.378456983313,
216,58.8326909948668,315.277760912815,
217,58.9687205198008,315.177761702487,
218,59.1044369720859,315.078451351614,
219,59.2398425034382,314.97982198749,
220,59.3749392410389,314.881865862805,
221,59.5097292879237,314.784575353078,
222,59.6442147233649,314.687942954174,
223,59.7783976032459,314.591961279865,
224,59.9122799604275,314.496623059464,
225,60.0458638051077,314.401921135511,
226,60.1791511251732,314.307848461513,
227,60.3121438865452,314.214398099743,
228,60.4448440335173,314.121563219093,
229,60.5772534890872,314.029337092974,
230,60.709374155282,313.937713097272,
231,60.8412079134768,313.846684708345,
232,60.9727566247075,313.756245501074,
