Date:  14:27, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal2
Time step: 1
Result Type: HFluxY 


Node  ,Value (W/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
17737  ,-9.158e+002  ,-45.715  ,9.9186  ,20.978  ,iso-1
17738  ,-1.491e+003  ,-44.289  ,9.9186  ,20.978  ,iso-1
17739  ,-1.276e+003  ,-42.863  ,9.9186  ,20.978  ,iso-1
17740  ,-1.068e+003  ,-41.437  ,9.9186  ,20.978  ,iso-1
17741  ,-1.199e+003  ,-40.011  ,9.9186  ,20.978  ,iso-1
17742  ,-1.234e+003  ,-38.585  ,9.9186  ,20.978  ,iso-1
17743  ,-1.342e+003  ,-37.159  ,9.9186  ,20.978  ,iso-1
17744  ,-1.476e+003  ,-35.733  ,9.9186  ,20.978  ,iso-1
17745  ,-1.403e+003  ,-34.307  ,9.9186  ,20.978  ,iso-1
17746  ,-1.602e+003  ,-32.881  ,9.9186  ,20.978  ,iso-1
17747  ,-1.790e+003  ,-31.455  ,9.9186  ,20.978  ,iso-1
17748  ,-1.478e+003  ,-30.029  ,9.9186  ,20.978  ,iso-1
17749  ,-1.982e+003  ,-28.603  ,9.9186  ,20.978  ,iso-1
17750  ,-1.783e+003  ,-27.178  ,9.9186  ,20.978  ,iso-1
17751  ,-2.263e+003  ,-25.752  ,9.9186  ,20.978  ,iso-1
17752  ,-2.375e+003  ,-24.326  ,9.9186  ,20.978  ,iso-1
17753  ,-2.680e+003  ,-22.9  ,9.9186  ,20.978  ,iso-1
17754  ,-2.266e+003  ,-21.474  ,9.9186  ,20.978  ,iso-1
17755  ,-3.042e+003  ,-20.048  ,9.9186  ,20.978  ,iso-1
17756  ,-2.596e+003  ,-18.622  ,9.9186  ,20.978  ,iso-1
17757  ,-3.084e+003  ,-17.196  ,9.9186  ,20.978  ,iso-1
17758  ,-3.049e+003  ,-15.77  ,9.9186  ,20.978  ,iso-1
17759  ,-3.709e+003  ,-14.344  ,9.9186  ,20.978  ,iso-1
17760  ,-3.872e+003  ,-12.918  ,9.9186  ,20.978  ,iso-1
17761  ,-4.093e+003  ,-11.492  ,9.9186  ,20.978  ,iso-1
17762  ,-4.467e+003  ,-10.066  ,9.9186  ,20.978  ,iso-1
17763  ,-3.780e+003  ,-8.64  ,9.9186  ,20.978  ,iso-1
17764  ,-4.213e+003  ,-7.214  ,9.9186  ,20.978  ,iso-1
17765  ,-4.493e+003  ,-5.788  ,9.9186  ,20.978  ,iso-1
17766  ,-3.671e+003  ,-4.3621  ,9.9186  ,20.978  ,iso-1
17767  ,-4.467e+003  ,-2.9361  ,9.9186  ,20.978  ,iso-1
17768  ,-3.808e+003  ,-1.5102  ,9.9186  ,20.978  ,iso-1
17769  ,-4.548e+003  ,-0.08419  ,9.9186  ,20.978  ,iso-1
17770  ,-4.138e+003  ,1.3418  ,9.9186  ,20.978  ,iso-1
17771  ,-3.452e+003  ,2.7677  ,9.9186  ,20.978  ,iso-1
17772  ,-3.849e+003  ,4.1937  ,9.9186  ,20.978  ,iso-1
17773  ,-3.151e+003  ,5.6197  ,9.9186  ,20.978  ,iso-1
17774  ,-3.533e+003  ,7.0456  ,9.9186  ,20.978  ,iso-1
17775  ,-2.819e+003  ,8.4716  ,9.9186  ,20.978  ,iso-1
17776  ,-3.092e+003  ,9.8976  ,9.9186  ,20.978  ,iso-1
17777  ,-2.294e+003  ,11.324  ,9.9186  ,20.978  ,iso-1
17778  ,-2.258e+003  ,12.749  ,9.9186  ,20.978  ,iso-1
17779  ,-2.153e+003  ,14.175  ,9.9186  ,20.978  ,iso-1
17780  ,-1.950e+003  ,15.601  ,9.9186  ,20.978  ,iso-1
17781  ,-1.782e+003  ,17.027  ,9.9186  ,20.978  ,iso-1
17782  ,-2.057e+003  ,18.453  ,9.9186  ,20.978  ,iso-1
17783  ,-1.634e+003  ,19.879  ,9.9186  ,20.978  ,iso-1
17784  ,-1.793e+003  ,21.305  ,9.9186  ,20.978  ,iso-1
17785  ,-1.348e+003  ,22.731  ,9.9186  ,20.978  ,iso-1
17786  ,-1.346e+003  ,24.157  ,9.9186  ,20.978  ,iso-1
17787  ,-1.211e+003  ,25.583  ,9.9186  ,20.978  ,iso-1
17788  ,-1.152e+003  ,27.009  ,9.9186  ,20.978  ,iso-1
17789  ,-1.150e+003  ,28.435  ,9.9186  ,20.978  ,iso-1
17790  ,-1.351e+003  ,29.861  ,9.9186  ,20.978  ,iso-1
17791  ,-1.199e+003  ,31.287  ,9.9186  ,20.978  ,iso-1
17792  ,-1.078e+003  ,32.713  ,9.9186  ,20.978  ,iso-1
17793  ,-1.440e+003  ,34.139  ,9.9186  ,20.978  ,iso-1
17794  ,-9.046e+002  ,35.565  ,9.9186  ,20.978  ,iso-1
17795  ,-1.631e+003  ,35.565  ,9.9186  ,19.571  ,iso-1
17796  ,-1.223e+003  ,35.565  ,9.9186  ,18.163  ,iso-1
17797  ,-1.268e+003  ,35.565  ,9.9186  ,16.756  ,iso-1
17798  ,-1.210e+003  ,35.565  ,9.9186  ,15.349  ,iso-1
17799  ,-1.387e+003  ,35.565  ,9.9186  ,13.942  ,iso-1
17800  ,-1.304e+003  ,35.565  ,9.9186  ,12.534  ,iso-1
17801  ,-1.385e+003  ,35.565  ,9.9186  ,11.127  ,iso-1
17802  ,-1.204e+003  ,35.565  ,9.9186  ,9.7196  ,iso-1
17803  ,-1.427e+003  ,35.565  ,9.9186  ,8.3123  ,iso-1
17804  ,-1.315e+003  ,35.565  ,9.9186  ,6.905  ,iso-1
17805  ,-1.342e+003  ,35.565  ,9.9186  ,5.4977  ,iso-1
17806  ,-1.362e+003  ,35.565  ,9.9186  ,4.0905  ,iso-1
17807  ,-1.645e+003  ,35.565  ,9.9186  ,2.6832  ,iso-1
17808  ,-1.386e+003  ,35.565  ,9.9186  ,1.2759  ,iso-1
17809  ,-1.404e+003  ,35.565  ,9.9186  ,-0.13144  ,iso-1
17810  ,-1.358e+003  ,35.565  ,9.9186  ,-1.5387  ,iso-1
17811  ,-1.588e+003  ,35.565  ,9.9186  ,-2.946  ,iso-1
17812  ,-1.670e+003  ,35.565  ,9.9186  ,-4.3533  ,iso-1
17813  ,-1.448e+003  ,35.565  ,9.9186  ,-5.7606  ,iso-1
17814  ,-1.333e+003  ,35.565  ,9.9186  ,-7.1679  ,iso-1
17815  ,-1.323e+003  ,35.565  ,9.9186  ,-8.5752  ,iso-1
17816  ,-1.651e+003  ,35.565  ,9.9186  ,-9.9825  ,iso-1
17817  ,-1.310e+003  ,35.565  ,9.9186  ,-11.39  ,iso-1
17818  ,-1.537e+003  ,35.565  ,9.9186  ,-12.797  ,iso-1
17819  ,-1.560e+003  ,35.565  ,9.9186  ,-14.204  ,iso-1
17820  ,-1.338e+003  ,35.565  ,9.9186  ,-15.612  ,iso-1
17821  ,-1.540e+003  ,35.565  ,9.9186  ,-17.019  ,iso-1
17822  ,-1.238e+003  ,35.565  ,9.9186  ,-18.426  ,iso-1
17823  ,-1.276e+003  ,35.565  ,9.9186  ,-19.834  ,iso-1
17824  ,-1.416e+003  ,35.565  ,9.9186  ,-21.241  ,iso-1
17825  ,-1.166e+003  ,35.565  ,9.9186  ,-22.648  ,iso-1
17826  ,-1.359e+003  ,35.565  ,9.9186  ,-24.055  ,iso-1
17827  ,-1.118e+003  ,35.565  ,9.9186  ,-25.463  ,iso-1
17828  ,-1.252e+003  ,35.565  ,9.9186  ,-26.87  ,iso-1
17829  ,-1.122e+003  ,35.565  ,9.9186  ,-28.277  ,iso-1
17830  ,-1.589e+003  ,35.565  ,9.9186  ,-29.685  ,iso-1
17831  ,-8.557e+002  ,35.565  ,9.9186  ,-31.092  ,iso-1
17832  ,-1.404e+003  ,34.139  ,9.9186  ,-31.092  ,iso-1
17833  ,-1.285e+003  ,32.713  ,9.9186  ,-31.092  ,iso-1
17834  ,-1.217e+003  ,31.287  ,9.9186  ,-31.092  ,iso-1
17835  ,-1.227e+003  ,29.861  ,9.9186  ,-31.092  ,iso-1
17836  ,-1.235e+003  ,28.435  ,9.9186  ,-31.092  ,iso-1
17837  ,-1.279e+003  ,27.009  ,9.9186  ,-31.092  ,iso-1
17838  ,-1.415e+003  ,25.583  ,9.9186  ,-31.092  ,iso-1
17839  ,-1.572e+003  ,24.157  ,9.9186  ,-31.092  ,iso-1
17840  ,-1.748e+003  ,22.731  ,9.9186  ,-31.092  ,iso-1
17841  ,-1.723e+003  ,21.305  ,9.9186  ,-31.092  ,iso-1
17842  ,-1.898e+003  ,19.879  ,9.9186  ,-31.092  ,iso-1
17843  ,-2.051e+003  ,18.453  ,9.9186  ,-31.092  ,iso-1
17844  ,-2.293e+003  ,17.027  ,9.9186  ,-31.092  ,iso-1
17845  ,-1.989e+003  ,15.601  ,9.9186  ,-31.092  ,iso-1
17846  ,-2.503e+003  ,14.175  ,9.9186  ,-31.092  ,iso-1
17847  ,-2.792e+003  ,12.749  ,9.9186  ,-31.092  ,iso-1
17848  ,-2.828e+003  ,11.324  ,9.9186  ,-31.092  ,iso-1
17849  ,-2.646e+003  ,9.8976  ,9.9186  ,-31.092  ,iso-1
17850  ,-3.221e+003  ,8.4716  ,9.9186  ,-31.092  ,iso-1
17851  ,-3.530e+003  ,7.0456  ,9.9186  ,-31.092  ,iso-1
17852  ,-3.145e+003  ,5.6197  ,9.9186  ,-31.092  ,iso-1
17853  ,-3.583e+003  ,4.1937  ,9.9186  ,-31.092  ,iso-1
17854  ,-4.048e+003  ,2.7677  ,9.9186  ,-31.092  ,iso-1
17855  ,-4.233e+003  ,1.3418  ,9.9186  ,-31.092  ,iso-1
17856  ,-4.302e+003  ,-0.084191  ,9.9186  ,-31.092  ,iso-1
17857  ,-4.184e+003  ,-1.5102  ,9.9186  ,-31.092  ,iso-1
17858  ,-3.834e+003  ,-2.9361  ,9.9186  ,-31.092  ,iso-1
17859  ,-4.090e+003  ,-4.3621  ,9.9186  ,-31.092  ,iso-1
17860  ,-3.902e+003  ,-5.7881  ,9.9186  ,-31.092  ,iso-1
17861  ,-4.009e+003  ,-7.214  ,9.9186  ,-31.092  ,iso-1
17862  ,-4.565e+003  ,-8.64  ,9.9186  ,-31.092  ,iso-1
17863  ,-3.690e+003  ,-10.066  ,9.9186  ,-31.092  ,iso-1
17864  ,-3.647e+003  ,-11.492  ,9.9186  ,-31.092  ,iso-1
17865  ,-4.087e+003  ,-12.918  ,9.9186  ,-31.092  ,iso-1
17866  ,-3.128e+003  ,-14.344  ,9.9186  ,-31.092  ,iso-1
17867  ,-3.022e+003  ,-15.77  ,9.9186  ,-31.092  ,iso-1
17868  ,-2.970e+003  ,-17.196  ,9.9186  ,-31.092  ,iso-1
17869  ,-3.331e+003  ,-18.622  ,9.9186  ,-31.092  ,iso-1
17870  ,-2.637e+003  ,-20.048  ,9.9186  ,-31.092  ,iso-1
17871  ,-2.424e+003  ,-21.474  ,9.9186  ,-31.092  ,iso-1
17872  ,-2.181e+003  ,-22.9  ,9.9186  ,-31.092  ,iso-1
17873  ,-2.032e+003  ,-24.326  ,9.9186  ,-31.092  ,iso-1
17874  ,-1.897e+003  ,-25.752  ,9.9186  ,-31.092  ,iso-1
17875  ,-1.819e+003  ,-27.178  ,9.9186  ,-31.092  ,iso-1
17876  ,-1.745e+003  ,-28.603  ,9.9186  ,-31.092  ,iso-1
17877  ,-1.652e+003  ,-30.029  ,9.9186  ,-31.092  ,iso-1
17878  ,-1.583e+003  ,-31.455  ,9.9186  ,-31.092  ,iso-1
