Date:  14:29, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal2
Time step: 1
Result Type: HFluxY 


Node  ,Value (W/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
17737  ,-1.394e+005  ,-9.4751  ,9.9186  ,-1.857  ,iso-1
17738  ,-1.550e+005  ,-8.2179  ,9.9186  ,-1.857  ,iso-1
17739  ,-2.342e+005  ,-6.9608  ,9.9186  ,-1.857  ,iso-1
17740  ,-2.886e+005  ,-5.7036  ,9.9186  ,-1.857  ,iso-1
17741  ,-2.823e+005  ,-4.4465  ,9.9186  ,-1.857  ,iso-1
17742  ,-2.411e+005  ,-3.1894  ,9.9186  ,-1.857  ,iso-1
17743  ,-1.684e+005  ,-1.9322  ,9.9186  ,-1.857  ,iso-1
17744  ,-1.819e+005  ,-0.67507  ,9.9186  ,-1.857  ,iso-1
17745  ,-1.573e+005  ,-0.67507  ,9.9186  ,-3.137  ,iso-1
17746  ,-1.740e+005  ,-0.67507  ,9.9186  ,-4.417  ,iso-1
17747  ,-1.748e+005  ,-0.67507  ,9.9186  ,-5.697  ,iso-1
17748  ,-1.499e+005  ,-0.67507  ,9.9186  ,-6.977  ,iso-1
17749  ,-1.392e+005  ,-0.67507  ,9.9186  ,-8.257  ,iso-1
17750  ,-1.524e+005  ,-1.9322  ,9.9186  ,-8.257  ,iso-1
17751  ,-2.390e+005  ,-3.1894  ,9.9186  ,-8.257  ,iso-1
17752  ,-2.862e+005  ,-4.4465  ,9.9186  ,-8.257  ,iso-1
17753  ,-2.896e+005  ,-5.7036  ,9.9186  ,-8.257  ,iso-1
17754  ,-2.393e+005  ,-6.9608  ,9.9186  ,-8.257  ,iso-1
17755  ,-1.744e+005  ,-8.2179  ,9.9186  ,-8.257  ,iso-1
17756  ,-1.327e+005  ,-9.4751  ,9.9186  ,-8.257  ,iso-1
17757  ,-1.571e+005  ,-9.4751  ,9.9186  ,-6.977  ,iso-1
17758  ,-2.069e+005  ,-9.4751  ,9.9186  ,-5.697  ,iso-1
17759  ,-2.109e+005  ,-9.4751  ,9.9186  ,-4.417  ,iso-1
17760  ,-1.557e+005  ,-9.4751  ,9.9186  ,-3.137  ,iso-1
17761  ,-4.329e+005  ,-5.0751  ,9.9186  ,-3.457  ,iso-1
17762  ,-1.944e+006  ,-4.8241  ,9.9186  ,-4.7376  ,iso-1
17763  ,-5.622e+005  ,-5.0751  ,9.9186  ,-6.657  ,iso-1
17764  ,-4.215e+005  ,-3.8179  ,9.9186  ,-3.457  ,iso-1
17765  ,-1.965e+006  ,-3.7795  ,9.9186  ,-5.0081  ,iso-1
17766  ,-4.550e+005  ,-3.8179  ,9.9186  ,-6.657  ,iso-1
