Date:  14:26, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
17737  ,3.423e+002  ,-45.715  ,9.9186  ,20.978  ,iso-1
17738  ,3.423e+002  ,-44.289  ,9.9186  ,20.978  ,iso-1
17739  ,3.424e+002  ,-42.863  ,9.9186  ,20.978  ,iso-1
17740  ,3.424e+002  ,-41.437  ,9.9186  ,20.978  ,iso-1
17741  ,3.425e+002  ,-40.011  ,9.9186  ,20.978  ,iso-1
17742  ,3.425e+002  ,-38.585  ,9.9186  ,20.978  ,iso-1
17743  ,3.426e+002  ,-37.159  ,9.9186  ,20.978  ,iso-1
17744  ,3.427e+002  ,-35.733  ,9.9186  ,20.978  ,iso-1
17745  ,3.428e+002  ,-34.307  ,9.9186  ,20.978  ,iso-1
17746  ,3.428e+002  ,-32.881  ,9.9186  ,20.978  ,iso-1
17747  ,3.429e+002  ,-31.455  ,9.9186  ,20.978  ,iso-1
17748  ,3.430e+002  ,-30.029  ,9.9186  ,20.978  ,iso-1
17749  ,3.431e+002  ,-28.603  ,9.9186  ,20.978  ,iso-1
17750  ,3.432e+002  ,-27.178  ,9.9186  ,20.978  ,iso-1
17751  ,3.434e+002  ,-25.752  ,9.9186  ,20.978  ,iso-1
17752  ,3.435e+002  ,-24.326  ,9.9186  ,20.978  ,iso-1
17753  ,3.436e+002  ,-22.9  ,9.9186  ,20.978  ,iso-1
17754  ,3.437e+002  ,-21.474  ,9.9186  ,20.978  ,iso-1
17755  ,3.438e+002  ,-20.048  ,9.9186  ,20.978  ,iso-1
17756  ,3.439e+002  ,-18.622  ,9.9186  ,20.978  ,iso-1
17757  ,3.440e+002  ,-17.196  ,9.9186  ,20.978  ,iso-1
17758  ,3.441e+002  ,-15.77  ,9.9186  ,20.978  ,iso-1
17759  ,3.442e+002  ,-14.344  ,9.9186  ,20.978  ,iso-1
17760  ,3.443e+002  ,-12.918  ,9.9186  ,20.978  ,iso-1
17761  ,3.443e+002  ,-11.492  ,9.9186  ,20.978  ,iso-1
17762  ,3.444e+002  ,-10.066  ,9.9186  ,20.978  ,iso-1
17763  ,3.444e+002  ,-8.64  ,9.9186  ,20.978  ,iso-1
17764  ,3.445e+002  ,-7.214  ,9.9186  ,20.978  ,iso-1
17765  ,3.445e+002  ,-5.788  ,9.9186  ,20.978  ,iso-1
17766  ,3.445e+002  ,-4.3621  ,9.9186  ,20.978  ,iso-1
17767  ,3.445e+002  ,-2.9361  ,9.9186  ,20.978  ,iso-1
17768  ,3.444e+002  ,-1.5102  ,9.9186  ,20.978  ,iso-1
17769  ,3.444e+002  ,-0.08419  ,9.9186  ,20.978  ,iso-1
17770  ,3.443e+002  ,1.3418  ,9.9186  ,20.978  ,iso-1
17771  ,3.443e+002  ,2.7677  ,9.9186  ,20.978  ,iso-1
17772  ,3.442e+002  ,4.1937  ,9.9186  ,20.978  ,iso-1
17773  ,3.441e+002  ,5.6197  ,9.9186  ,20.978  ,iso-1
17774  ,3.440e+002  ,7.0456  ,9.9186  ,20.978  ,iso-1
17775  ,3.439e+002  ,8.4716  ,9.9186  ,20.978  ,iso-1
17776  ,3.438e+002  ,9.8976  ,9.9186  ,20.978  ,iso-1
17777  ,3.437e+002  ,11.324  ,9.9186  ,20.978  ,iso-1
17778  ,3.436e+002  ,12.749  ,9.9186  ,20.978  ,iso-1
17779  ,3.435e+002  ,14.175  ,9.9186  ,20.978  ,iso-1
17780  ,3.434e+002  ,15.601  ,9.9186  ,20.978  ,iso-1
17781  ,3.432e+002  ,17.027  ,9.9186  ,20.978  ,iso-1
17782  ,3.431e+002  ,18.453  ,9.9186  ,20.978  ,iso-1
17783  ,3.430e+002  ,19.879  ,9.9186  ,20.978  ,iso-1
17784  ,3.429e+002  ,21.305  ,9.9186  ,20.978  ,iso-1
17785  ,3.428e+002  ,22.731  ,9.9186  ,20.978  ,iso-1
17786  ,3.428e+002  ,24.157  ,9.9186  ,20.978  ,iso-1
17787  ,3.427e+002  ,25.583  ,9.9186  ,20.978  ,iso-1
17788  ,3.426e+002  ,27.009  ,9.9186  ,20.978  ,iso-1
17789  ,3.425e+002  ,28.435  ,9.9186  ,20.978  ,iso-1
17790  ,3.425e+002  ,29.861  ,9.9186  ,20.978  ,iso-1
17791  ,3.424e+002  ,31.287  ,9.9186  ,20.978  ,iso-1
17792  ,3.424e+002  ,32.713  ,9.9186  ,20.978  ,iso-1
17793  ,3.423e+002  ,34.139  ,9.9186  ,20.978  ,iso-1
17794  ,3.423e+002  ,35.565  ,9.9186  ,20.978  ,iso-1
17795  ,3.423e+002  ,35.565  ,9.9186  ,19.571  ,iso-1
17796  ,3.424e+002  ,35.565  ,9.9186  ,18.163  ,iso-1
17797  ,3.424e+002  ,35.565  ,9.9186  ,16.756  ,iso-1
17798  ,3.424e+002  ,35.565  ,9.9186  ,15.349  ,iso-1
17799  ,3.425e+002  ,35.565  ,9.9186  ,13.942  ,iso-1
17800  ,3.425e+002  ,35.565  ,9.9186  ,12.534  ,iso-1
17801  ,3.425e+002  ,35.565  ,9.9186  ,11.127  ,iso-1
17802  ,3.426e+002  ,35.565  ,9.9186  ,9.7196  ,iso-1
17803  ,3.426e+002  ,35.565  ,9.9186  ,8.3123  ,iso-1
17804  ,3.426e+002  ,35.565  ,9.9186  ,6.905  ,iso-1
17805  ,3.426e+002  ,35.565  ,9.9186  ,5.4977  ,iso-1
17806  ,3.427e+002  ,35.565  ,9.9186  ,4.0905  ,iso-1
17807  ,3.427e+002  ,35.565  ,9.9186  ,2.6832  ,iso-1
17808  ,3.427e+002  ,35.565  ,9.9186  ,1.2759  ,iso-1
17809  ,3.427e+002  ,35.565  ,9.9186  ,-0.13144  ,iso-1
17810  ,3.427e+002  ,35.565  ,9.9186  ,-1.5387  ,iso-1
17811  ,3.427e+002  ,35.565  ,9.9186  ,-2.946  ,iso-1
17812  ,3.427e+002  ,35.565  ,9.9186  ,-4.3533  ,iso-1
17813  ,3.427e+002  ,35.565  ,9.9186  ,-5.7606  ,iso-1
17814  ,3.427e+002  ,35.565  ,9.9186  ,-7.1679  ,iso-1
17815  ,3.427e+002  ,35.565  ,9.9186  ,-8.5752  ,iso-1
17816  ,3.427e+002  ,35.565  ,9.9186  ,-9.9825  ,iso-1
17817  ,3.427e+002  ,35.565  ,9.9186  ,-11.39  ,iso-1
17818  ,3.427e+002  ,35.565  ,9.9186  ,-12.797  ,iso-1
17819  ,3.427e+002  ,35.565  ,9.9186  ,-14.204  ,iso-1
17820  ,3.426e+002  ,35.565  ,9.9186  ,-15.612  ,iso-1
17821  ,3.426e+002  ,35.565  ,9.9186  ,-17.019  ,iso-1
17822  ,3.426e+002  ,35.565  ,9.9186  ,-18.426  ,iso-1
17823  ,3.426e+002  ,35.565  ,9.9186  ,-19.834  ,iso-1
17824  ,3.425e+002  ,35.565  ,9.9186  ,-21.241  ,iso-1
17825  ,3.425e+002  ,35.565  ,9.9186  ,-22.648  ,iso-1
17826  ,3.425e+002  ,35.565  ,9.9186  ,-24.055  ,iso-1
17827  ,3.424e+002  ,35.565  ,9.9186  ,-25.463  ,iso-1
17828  ,3.424e+002  ,35.565  ,9.9186  ,-26.87  ,iso-1
17829  ,3.424e+002  ,35.565  ,9.9186  ,-28.277  ,iso-1
17830  ,3.423e+002  ,35.565  ,9.9186  ,-29.685  ,iso-1
17831  ,3.423e+002  ,35.565  ,9.9186  ,-31.092  ,iso-1
17832  ,3.423e+002  ,34.139  ,9.9186  ,-31.092  ,iso-1
17833  ,3.424e+002  ,32.713  ,9.9186  ,-31.092  ,iso-1
17834  ,3.424e+002  ,31.287  ,9.9186  ,-31.092  ,iso-1
17835  ,3.425e+002  ,29.861  ,9.9186  ,-31.092  ,iso-1
17836  ,3.425e+002  ,28.435  ,9.9186  ,-31.092  ,iso-1
17837  ,3.426e+002  ,27.009  ,9.9186  ,-31.092  ,iso-1
17838  ,3.427e+002  ,25.583  ,9.9186  ,-31.092  ,iso-1
17839  ,3.428e+002  ,24.157  ,9.9186  ,-31.092  ,iso-1
17840  ,3.428e+002  ,22.731  ,9.9186  ,-31.092  ,iso-1
17841  ,3.429e+002  ,21.305  ,9.9186  ,-31.092  ,iso-1
17842  ,3.430e+002  ,19.879  ,9.9186  ,-31.092  ,iso-1
17843  ,3.431e+002  ,18.453  ,9.9186  ,-31.092  ,iso-1
17844  ,3.432e+002  ,17.027  ,9.9186  ,-31.092  ,iso-1
17845  ,3.434e+002  ,15.601  ,9.9186  ,-31.092  ,iso-1
17846  ,3.435e+002  ,14.175  ,9.9186  ,-31.092  ,iso-1
17847  ,3.436e+002  ,12.749  ,9.9186  ,-31.092  ,iso-1
17848  ,3.437e+002  ,11.324  ,9.9186  ,-31.092  ,iso-1
17849  ,3.438e+002  ,9.8976  ,9.9186  ,-31.092  ,iso-1
17850  ,3.439e+002  ,8.4716  ,9.9186  ,-31.092  ,iso-1
17851  ,3.440e+002  ,7.0456  ,9.9186  ,-31.092  ,iso-1
17852  ,3.441e+002  ,5.6197  ,9.9186  ,-31.092  ,iso-1
17853  ,3.442e+002  ,4.1937  ,9.9186  ,-31.092  ,iso-1
17854  ,3.443e+002  ,2.7677  ,9.9186  ,-31.092  ,iso-1
17855  ,3.443e+002  ,1.3418  ,9.9186  ,-31.092  ,iso-1
17856  ,3.444e+002  ,-0.084191  ,9.9186  ,-31.092  ,iso-1
17857  ,3.444e+002  ,-1.5102  ,9.9186  ,-31.092  ,iso-1
17858  ,3.445e+002  ,-2.9361  ,9.9186  ,-31.092  ,iso-1
17859  ,3.445e+002  ,-4.3621  ,9.9186  ,-31.092  ,iso-1
17860  ,3.445e+002  ,-5.7881  ,9.9186  ,-31.092  ,iso-1
17861  ,3.445e+002  ,-7.214  ,9.9186  ,-31.092  ,iso-1
17862  ,3.444e+002  ,-8.64  ,9.9186  ,-31.092  ,iso-1
17863  ,3.444e+002  ,-10.066  ,9.9186  ,-31.092  ,iso-1
17864  ,3.443e+002  ,-11.492  ,9.9186  ,-31.092  ,iso-1
17865  ,3.443e+002  ,-12.918  ,9.9186  ,-31.092  ,iso-1
17866  ,3.442e+002  ,-14.344  ,9.9186  ,-31.092  ,iso-1
17867  ,3.441e+002  ,-15.77  ,9.9186  ,-31.092  ,iso-1
