Date:  14:22, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
17737  ,3.524e+002  ,-9.4751  ,9.9186  ,-1.857  ,iso-1
17738  ,3.539e+002  ,-8.2179  ,9.9186  ,-1.857  ,iso-1
17739  ,3.553e+002  ,-6.9608  ,9.9186  ,-1.857  ,iso-1
17740  ,3.562e+002  ,-5.7036  ,9.9186  ,-1.857  ,iso-1
17741  ,3.562e+002  ,-4.4465  ,9.9186  ,-1.857  ,iso-1
17742  ,3.554e+002  ,-3.1894  ,9.9186  ,-1.857  ,iso-1
17743  ,3.539e+002  ,-1.9322  ,9.9186  ,-1.857  ,iso-1
17744  ,3.525e+002  ,-0.67507  ,9.9186  ,-1.857  ,iso-1
17745  ,3.537e+002  ,-0.67507  ,9.9186  ,-3.137  ,iso-1
17746  ,3.545e+002  ,-0.67507  ,9.9186  ,-4.417  ,iso-1
17747  ,3.545e+002  ,-0.67507  ,9.9186  ,-5.697  ,iso-1
17748  ,3.536e+002  ,-0.67507  ,9.9186  ,-6.977  ,iso-1
17749  ,3.524e+002  ,-0.67507  ,9.9186  ,-8.257  ,iso-1
17750  ,3.539e+002  ,-1.9322  ,9.9186  ,-8.257  ,iso-1
17751  ,3.553e+002  ,-3.1894  ,9.9186  ,-8.257  ,iso-1
17752  ,3.562e+002  ,-4.4465  ,9.9186  ,-8.257  ,iso-1
17753  ,3.562e+002  ,-5.7036  ,9.9186  ,-8.257  ,iso-1
17754  ,3.554e+002  ,-6.9608  ,9.9186  ,-8.257  ,iso-1
17755  ,3.539e+002  ,-8.2179  ,9.9186  ,-8.257  ,iso-1
17756  ,3.525e+002  ,-9.4751  ,9.9186  ,-8.257  ,iso-1
17757  ,3.537e+002  ,-9.4751  ,9.9186  ,-6.977  ,iso-1
17758  ,3.545e+002  ,-9.4751  ,9.9186  ,-5.697  ,iso-1
17759  ,3.545e+002  ,-9.4751  ,9.9186  ,-4.417  ,iso-1
17760  ,3.536e+002  ,-9.4751  ,9.9186  ,-3.137  ,iso-1
17761  ,3.623e+002  ,-5.0751  ,9.9186  ,-3.457  ,iso-1
17762  ,3.689e+002  ,-4.8241  ,9.9186  ,-4.7376  ,iso-1
17763  ,3.623e+002  ,-5.0751  ,9.9186  ,-6.657  ,iso-1
17764  ,3.614e+002  ,-3.8179  ,9.9186  ,-3.457  ,iso-1
17765  ,3.679e+002  ,-3.7795  ,9.9186  ,-5.0081  ,iso-1
17766  ,3.613e+002  ,-3.8179  ,9.9186  ,-6.657  ,iso-1
17767  ,3.582e+002  ,-2.5608  ,9.9186  ,-3.457  ,iso-1
17768  ,3.620e+002  ,-2.5608  ,9.9186  ,-5.057  ,iso-1
17769  ,3.581e+002  ,-2.5608  ,9.9186  ,-6.657  ,iso-1
17770  ,3.613e+002  ,-6.3322  ,9.9186  ,-3.457  ,iso-1
17771  ,3.682e+002  ,-6.303  ,9.9186  ,-5.0197  ,iso-1
17772  ,3.614e+002  ,-6.3322  ,9.9186  ,-6.657  ,iso-1
17773  ,3.581e+002  ,-7.5894  ,9.9186  ,-3.457  ,iso-1
17774  ,3.621e+002  ,-7.5829  ,9.9186  ,-5.0488  ,iso-1
17775  ,3.582e+002  ,-7.5894  ,9.9186  ,-6.657  ,iso-1
17776  ,3.560e+002  ,-8.8465  ,9.9186  ,-5.057  ,iso-1
19937  ,3.422e+002  ,36.835  ,9.9186  ,-32.362  ,iso-1
19938  ,3.422e+002  ,36.835  ,9.9186  ,-30.925  ,iso-1
19939  ,3.422e+002  ,36.835  ,9.9186  ,-29.488  ,iso-1
19940  ,3.422e+002  ,36.835  ,9.9186  ,-28.051  ,iso-1
19941  ,3.423e+002  ,36.835  ,9.9186  ,-26.614  ,iso-1
19942  ,3.423e+002  ,36.835  ,9.9186  ,-25.176  ,iso-1
