Date:  15:42, Wednesday, March 13, 2013
Model name: RD100_solder
Study name: Study 1
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
17737  ,3.623e+002  ,-7.4751  ,9.9186  ,-3.857  ,iso-1
17738  ,3.676e+002  ,-6.2751  ,9.9186  ,-3.857  ,iso-1
17739  ,3.692e+002  ,-5.0751  ,9.9186  ,-3.857  ,iso-1
17740  ,3.677e+002  ,-3.8751  ,9.9186  ,-3.857  ,iso-1
17741  ,3.628e+002  ,-2.6751  ,9.9186  ,-3.857  ,iso-1
17742  ,3.667e+002  ,-2.6751  ,9.9186  ,-5.057  ,iso-1
17743  ,3.623e+002  ,-2.6751  ,9.9186  ,-6.257  ,iso-1
17744  ,3.676e+002  ,-3.8751  ,9.9186  ,-6.257  ,iso-1
17745  ,3.692e+002  ,-5.0751  ,9.9186  ,-6.257  ,iso-1
17746  ,3.677e+002  ,-6.2751  ,9.9186  ,-6.257  ,iso-1
17747  ,3.626e+002  ,-7.4751  ,9.9186  ,-6.257  ,iso-1
17748  ,3.664e+002  ,-7.4751  ,9.9186  ,-5.057  ,iso-1
17749  ,3.730e+002  ,-5.0751  ,9.9186  ,-5.057  ,iso-1
17750  ,3.716e+002  ,-3.8751  ,9.9186  ,-5.057  ,iso-1
17751  ,3.717e+002  ,-6.2751  ,9.9186  ,-5.057  ,iso-1
19912  ,3.422e+002  ,36.835  ,9.9186  ,-32.362  ,iso-1
19913  ,3.422e+002  ,36.835  ,9.9186  ,-30.925  ,iso-1
19914  ,3.422e+002  ,36.835  ,9.9186  ,-29.488  ,iso-1
19915  ,3.422e+002  ,36.835  ,9.9186  ,-28.051  ,iso-1
19916  ,3.423e+002  ,36.835  ,9.9186  ,-26.614  ,iso-1
19917  ,3.423e+002  ,36.835  ,9.9186  ,-25.176  ,iso-1
19918  ,3.423e+002  ,36.835  ,9.9186  ,-23.739  ,iso-1
19919  ,3.424e+002  ,36.835  ,9.9186  ,-22.302  ,iso-1
19920  ,3.424e+002  ,36.835  ,9.9186  ,-20.865  ,iso-1
19921  ,3.424e+002  ,36.835  ,9.9186  ,-19.428  ,iso-1
19922  ,3.425e+002  ,36.835  ,9.9186  ,-17.991  ,iso-1
19923  ,3.425e+002  ,36.835  ,9.9186  ,-16.554  ,iso-1
19924  ,3.425e+002  ,36.835  ,9.9186  ,-15.117  ,iso-1
19925  ,3.425e+002  ,36.835  ,9.9186  ,-13.68  ,iso-1
19926  ,3.426e+002  ,36.835  ,9.9186  ,-12.243  ,iso-1
19927  ,3.426e+002  ,36.835  ,9.9186  ,-10.805  ,iso-1
19928  ,3.426e+002  ,36.835  ,9.9186  ,-9.3683  ,iso-1
19929  ,3.426e+002  ,36.835  ,9.9186  ,-7.9312  ,iso-1
19930  ,3.426e+002  ,36.835  ,9.9186  ,-6.4941  ,iso-1
